CED_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
CED111,659,16,4,15,674,111,0,782,6017,950,337,34,7338,91,34,127,7462,405,7,7868,8093,1526,374,44,10035,71,24,94,10127,430,18,10569,1758,345,345,19,2462,18,3,24,2486,49,5,2538,53,18,0,74,154,0,0,0,154,13,26,182,15915,2842,1057,171,19982,179,58,239,20227,891,43,21153,83,6,6,0,98,29,0,29,124,15,0,141,242,61,7,9,312,13,11,27,337,13,0,350,323,68,19,9,409,36,11,49,457,30,4,495,16239,2905,1069,174,20397,220,76,288,20681,917,50,21648,3057,758,249,59,4127,103,50,156,4282,1042,0,5319,17,4,0,27,47,0,0,0,52,3,63,117,19317,3670,1316,266,24571,327,121,445,25017,1964,105,27084
CED112,427,4,3,3,433,55,0,484,5219,1025,328,21,6593,92,39,132,6722,438,3,7165,7254,1630,493,59,9443,71,19,92,9534,416,13,9960,1707,410,395,28,2542,16,0,18,2557,103,0,2666,118,15,18,113,262,5,0,5,270,24,22,318,14299,3085,1230,221,18844,183,55,240,19083,984,42,20109,99,33,0,8,135,18,3,22,162,23,0,180,171,64,15,3,257,3,8,9,263,17,0,284,264,97,20,9,390,23,13,35,422,37,0,462,14573,3182,1254,237,19235,205,64,271,19505,1018,42,20570,3244,851,317,98,4505,116,37,151,4654,916,11,5589,30,0,0,42,70,0,0,0,70,4,70,147,17844,4029,1572,368,23803,324,96,423,24227,1939,128,26300
CED113,288,0,0,0,289,36,3,330,8507,905,183,42,9635,60,13,72,9710,426,17,10157,7988,1121,173,75,9354,53,15,64,9419,312,22,9751,1163,134,149,23,1475,10,0,12,1484,41,0,1526,98,5,3,146,256,0,0,0,258,16,15,288,17751,2178,511,289,20724,126,25,151,20872,790,54,21722,103,7,7,0,112,17,0,20,131,5,0,137,142,22,0,0,170,14,0,23,190,13,4,209,246,26,10,0,279,34,3,41,317,19,4,344,18000,2207,516,289,21004,155,31,185,21197,814,59,22066,2494,456,108,61,3118,44,16,60,3180,591,0,3766,8,0,0,19,36,0,0,0,37,8,66,105,20500,2666,624,368,24157,201,49,252,24411,1410,121,25944
CED114,202,0,0,0,204,19,0,222,6913,612,109,31,7664,77,22,99,7766,321,10,8088,9811,975,131,108,11025,66,18,83,11107,285,24,11417,1024,110,96,13,1236,11,0,11,1247,38,0,1285,110,6,9,90,212,0,0,0,212,15,19,243,17852,1699,341,239,20135,156,38,192,20324,654,55,21038,71,12,3,0,90,20,0,20,110,16,0,128,184,38,3,4,232,8,9,16,243,20,0,269,252,50,9,9,319,30,9,35,355,40,0,398,18105,1750,353,252,20452,184,40,229,20679,699,58,21432,3204,537,109,121,3977,90,30,124,4091,724,17,4837,26,3,0,29,63,0,0,0,63,10,66,140,21339,2290,463,396,24490,279,72,349,24839,1431,143,26410
CED115,835,36,24,63,899,629,15,1540,3226,456,413,42,4132,125,10,136,4275,791,15,5077,2515,1047,552,37,4143,90,33,123,4268,867,5,5145,710,240,647,10,1609,19,9,26,1639,269,3,1913,52,17,14,114,201,9,0,9,212,42,35,291,6505,1755,1626,208,10093,246,46,297,10391,1970,62,12420,148,55,30,9,249,125,10,135,384,63,0,455,167,78,38,9,290,65,58,119,408,95,3,506,321,134,71,19,538,188,71,252,799,155,9,962,6820,1887,1694,226,10634,436,115,554,11183,2126,65,13381,3974,1778,1203,284,7237,446,254,699,7939,8191,75,16200,27,15,7,55,103,0,0,0,102,44,183,326,10819,3677,2912,560,17974,882,373,1252,19224,10367,319,29913
CED116,198,3,0,6,200,45,0,244,4666,709,138,31,5548,51,24,76,5621,385,9,6016,6992,1427,179,64,8659,70,22,92,8753,453,6,9207,919,172,113,6,1204,9,4,15,1220,49,5,1272,78,25,5,80,189,0,0,0,189,20,7,207,12654,2327,437,184,15607,131,44,180,15785,903,24,16708,56,19,3,5,82,19,6,22,109,9,0,113,147,30,9,0,180,21,7,23,207,20,0,228,200,53,10,0,262,45,11,50,313,26,0,340,12850,2380,444,190,15869,179,57,230,16096,927,24,17051,2363,564,115,87,3138,95,24,117,3251,798,12,4059,35,9,0,14,53,0,0,0,53,0,59,116,15257,2947,562,290,19056,266,82,349,19410,1728,91,21227
CED117,440,6,5,14,456,98,0,558,7696,974,264,11,8953,150,44,192,9150,517,4,9666,5511,1041,170,23,6741,66,11,73,6821,281,8,7108,1349,209,210,12,1783,12,6,15,1794,60,0,1859,26,4,0,50,84,0,0,0,84,10,3,106,14582,2229,645,102,17557,227,62,289,17848,869,19,18734,180,17,13,6,216,21,4,22,234,16,0,256,143,18,9,4,169,17,6,20,186,13,0,199,319,40,16,10,380,35,3,43,424,28,0,456,14903,2265,664,110,17940,265,68,334,18270,895,20,19189,2301,429,145,42,2915,44,14,60,2967,413,13,3402,7,5,0,16,29,0,0,0,29,6,17,55,17210,2699,808,165,20884,311,77,386,21272,1312,51,22636
CED118,1255,25,12,34,1295,211,8,1517,14273,1637,1022,100,17028,302,44,350,17379,916,18,18318,8535,1821,898,102,11352,138,39,177,11524,663,21,12208,2172,330,827,26,3351,38,7,43,3396,120,6,3522,140,23,24,190,382,5,0,5,387,20,48,462,25123,3810,2767,415,32116,490,84,573,32686,1726,95,34509,570,86,22,20,700,111,8,123,820,43,0,860,549,64,22,6,643,48,14,65,702,58,0,763,1119,147,49,25,1337,161,24,182,1523,101,0,1620,26240,3960,2817,442,33452,651,105,755,34205,1824,95,36131,6345,1250,754,175,8521,297,46,346,8865,2247,60,11177,69,23,13,120,220,3,0,3,227,10,153,389,32657,5228,3584,734,42196,952,159,1105,43302,4083,311,47696
CED119,973,21,6,22,997,126,0,1122,8786,1134,550,34,10502,144,28,176,10677,534,15,11232,9682,1676,609,45,12014,92,20,106,12120,406,17,12539,2166,416,487,25,3095,19,0,22,3110,100,5,3215,62,15,12,104,188,0,0,0,188,14,17,219,20696,3239,1665,206,25801,250,55,303,26099,1061,52,27214,144,20,0,0,163,18,5,24,187,12,0,193,213,34,3,4,253,10,0,11,265,23,0,285,355,58,11,4,417,31,4,37,453,29,0,482,21043,3292,1668,210,26220,283,53,332,26557,1089,52,27698,3329,624,316,75,4345,107,12,118,4463,845,13,5321,14,10,0,31,55,0,0,0,55,0,74,131,24386,3925,1989,317,30615,389,67,454,31068,1933,144,33148
CED120,491,8,7,14,500,54,4,560,8374,1190,467,63,10088,102,16,119,10210,461,10,10686,9298,1846,523,88,11755,98,13,113,11867,464,10,12340,2072,474,513,32,3085,28,10,36,3120,109,3,3231,135,13,16,167,340,5,0,5,345,14,41,397,19882,3518,1522,354,25273,229,40,263,25543,1044,65,26654,91,11,9,0,115,30,4,36,151,10,0,167,222,53,23,15,316,10,4,10,330,18,0,352,320,63,33,15,436,40,11,46,478,34,0,518,20196,3586,1556,373,25707,268,45,318,26025,1081,71,27170,3843,899,405,130,5279,102,23,126,5408,944,20,6367,38,6,10,42,95,0,0,0,95,0,116,217,24075,4493,1967,547,31083,368,70,440,31526,2025,204,33754
CED121,376,4,0,4,383,43,0,423,6248,716,209,35,7206,69,9,76,7283,368,20,7669,8960,1300,272,77,10615,96,23,119,10733,366,18,11122,1376,209,265,27,1881,18,0,19,1896,50,5,1957,105,18,10,93,226,6,4,8,229,21,27,275,16689,2239,764,228,19918,184,38,221,20142,807,70,21019,87,23,3,0,118,17,0,17,134,34,4,167,237,23,3,0,267,3,9,13,280,30,0,311,323,48,9,6,385,23,9,30,414,58,4,474,17013,2289,771,236,20302,210,44,255,20557,869,74,21497,3716,581,196,112,4604,129,39,166,4768,882,32,5690,22,6,4,35,68,3,0,3,74,0,62,142,20754,2875,963,384,24981,336,82,420,25401,1753,170,27324
CED122,838,26,13,30,875,150,4,1032,8083,1219,329,40,9673,175,37,212,9886,628,14,10518,6627,1528,302,64,8525,110,21,135,8660,329,12,9007,1618,337,279,10,2251,25,0,23,2272,98,0,2372,61,13,6,88,165,8,0,7,174,9,10,195,16398,3101,921,205,20621,310,54,370,20990,1063,38,22089,149,26,8,7,187,27,8,37,219,30,3,258,213,53,9,10,285,16,12,29,308,30,0,344,365,72,14,17,472,50,11,62,535,66,3,598,16762,3172,937,222,21089,363,71,430,21519,1125,42,22691,3301,740,215,100,4356,91,28,119,4474,983,14,5477,30,8,5,33,80,0,0,0,80,3,76,152,20098,3924,1156,357,25528,451,101,545,26076,2112,129,28319
CED123,647,15,0,16,664,115,0,779,8610,1198,556,92,10462,171,19,188,10652,613,15,11277,7209,1764,570,79,9616,93,12,106,9722,530,31,10290,2106,501,589,33,3227,31,0,32,3256,147,3,3411,122,28,9,134,293,3,0,3,298,28,30,359,18042,3488,1727,335,23596,294,38,333,23932,1320,82,25331,239,60,10,6,319,46,3,49,366,28,0,399,266,61,20,16,358,25,8,32,388,35,0,425,505,124,29,22,680,75,9,81,759,61,0,819,18549,3607,1757,364,24273,364,50,415,24692,1384,82,26148,4851,1244,576,179,6848,230,29,258,7107,1531,30,8667,60,15,9,75,148,3,3,3,156,14,127,296,23457,4866,2342,611,31272,600,79,681,31955,2925,238,35115
CED124,191,0,0,3,193,36,0,222,4649,761,132,48,5580,62,8,65,5650,395,7,6051,6362,1171,179,70,7785,71,31,104,7885,374,21,8284,734,134,101,12,980,11,6,15,997,43,6,1044,104,21,4,114,245,0,0,0,245,15,14,272,11851,2082,417,238,14590,142,42,190,14778,837,43,15653,78,11,3,0,92,30,0,30,122,16,0,134,177,21,6,9,216,26,7,34,247,21,0,268,258,32,6,7,310,49,7,61,363,36,0,406,12109,2113,422,252,14897,195,48,248,15141,874,42,16058,2095,543,137,93,2870,108,19,128,2991,874,15,3880,10,4,0,20,33,3,0,3,36,6,82,128,14211,2657,563,361,17796,308,68,372,18170,1751,144,20064
CED125,863,16,6,25,889,208,4,1103,8878,1355,881,77,11180,228,50,275,11463,865,41,12364,7155,2088,856,93,10184,203,26,226,10412,826,20,11256,2084,515,855,31,3487,52,12,64,3550,150,4,3703,129,18,39,210,396,15,0,15,407,47,60,514,18244,3977,2630,406,25249,498,87,579,25832,1888,123,27837,289,62,33,8,400,98,16,114,507,86,5,597,474,132,45,9,661,75,10,88,740,73,0,816,763,191,79,23,1053,173,26,194,1249,163,5,1411,19001,4166,2714,423,26300,668,110,776,27078,2047,128,29250,6469,1873,1115,302,9760,399,68,464,10223,3521,39,13784,40,15,6,67,128,3,0,3,132,18,202,356,25514,6055,3829,800,36191,1064,177,1241,37439,5588,370,43395
