CED_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
CED111,5509,245,7,0,252,4,5761,328,976,44,0,1019,0,1349,5,70,51,0,123,0,126,0,0,0,0,0,0,0,337,1046,98,0,1141,0,1476,4,0,0,0,0,4,8,5852,1292,101,0,1392,6,7246,5359,197,8,3,202,0,5561,305,959,39,0,992,0,1301,7,89,94,0,186,0,193,0,4,0,0,4,0,4,313,1049,132,0,1181,0,1498,4,6,0,0,6,10,22,5679,1250,140,3,1391,8,7079,3248,95,5,0,100,3,3348,164,514,24,0,537,3,699,0,36,52,0,85,0,94,0,0,0,0,0,0,0,167,550,76,0,627,3,797,3,0,0,0,0,0,6,3417,645,76,0,730,6,4152,2174,58,5,0,58,3,2233,114,318,15,0,330,0,442,3,25,25,0,58,0,54,0,0,0,0,0,0,0,110,345,45,0,389,0,504,3,0,0,0,0,0,3,2293,403,47,0,449,3,2740,2729,91,6,0
CED112,6160,158,8,0,165,7,6336,248,512,10,0,520,5,769,4,22,10,0,29,0,35,0,0,0,0,0,0,0,254,532,18,0,550,3,804,3,0,0,0,0,9,16,6415,695,27,0,719,23,7159,6050,186,3,0,188,8,6246,231,483,8,0,487,0,724,6,33,18,0,53,0,53,0,0,0,0,0,0,0,240,510,27,0,538,0,776,10,0,0,0,0,17,32,6296,699,30,0,731,28,7058,3805,75,0,0,77,5,3888,127,239,16,0,253,0,374,5,25,7,0,29,0,37,0,0,0,0,0,0,0,130,264,17,0,281,0,408,0,3,0,0,3,5,9,3929,337,20,0,360,12,4307,2502,50,4,0,50,3,2558,74,137,3,0,144,0,217,0,8,9,0,17,0,14,0,0,0,0,0,0,0,75,147,14,0,155,0,235,0,0,0,0,0,0,0,2576,196,12,0,210,8,2791,3002,55,0,0
CED113,5772,170,0,4,172,5,5948,249,730,10,0,746,0,993,5,29,8,0,32,0,34,0,3,0,0,3,0,7,253,768,14,0,778,0,1035,11,9,0,0,9,13,27,6041,940,13,4,958,14,7009,6054,127,0,0,132,0,6190,218,602,9,0,612,0,829,5,27,3,0,34,0,38,0,5,0,0,5,0,5,222,636,10,0,647,0,869,3,6,0,0,6,17,25,6277,768,13,0,781,20,7082,3920,78,0,0,78,8,4011,111,273,3,0,280,0,394,0,5,5,0,9,0,15,0,0,0,0,0,0,0,113,279,7,0,286,0,400,0,0,0,0,0,5,6,4037,360,7,0,372,14,4421,2535,45,0,0,47,4,2587,59,142,5,0,147,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,142,5,0,147,0,209,0,0,0,0,0,4,4,2594,193,8,0,194,12,2801,3025,60,0,0
CED114,6201,138,4,0,141,8,6352,163,784,35,3,828,0,996,3,82,38,0,116,0,118,0,0,0,0,3,0,3,164,865,80,3,946,0,1113,6,0,0,0,0,11,23,6374,1007,79,4,1092,20,7487,6353,97,6,0,103,7,6473,158,653,25,0,676,0,839,5,69,29,0,92,0,102,0,0,0,0,0,0,0,168,717,55,0,773,0,938,9,3,0,0,3,5,20,6529,818,60,6,879,16,7429,3778,51,4,0,58,6,3837,90,313,14,0,328,0,415,3,41,28,0,68,0,71,0,0,0,0,0,0,0,95,349,44,0,397,0,490,6,0,0,0,0,0,7,3875,409,45,0,458,10,4336,2470,40,0,0,40,6,2515,51,157,8,0,164,0,218,0,11,26,0,43,0,47,0,0,0,0,0,0,0,56,170,31,0,202,0,259,4,0,0,0,0,3,8,2528,214,31,0,247,8,2787,2941,56,3,0
CED115,1015,214,9,0,218,0,1236,372,3633,447,8,4084,4,4466,10,735,781,3,1522,0,1533,0,3,6,3,12,0,16,384,4372,1230,17,5624,5,6013,4,9,5,0,11,15,28,1402,4593,1240,17,5851,26,7281,1050,158,10,0,169,0,1222,331,3381,498,9,3889,9,4226,17,841,1048,5,1892,0,1908,0,0,4,5,11,0,11,346,4227,1549,17,5797,9,6152,8,10,4,0,12,13,33,1398,4405,1564,17,5977,22,7405,594,97,5,0,103,0,700,141,1860,297,0,2158,5,2301,12,499,693,5,1199,0,1208,0,0,4,7,8,0,5,155,2360,995,4,3361,5,3517,0,4,3,0,3,9,15,747,2468,1001,4,3474,17,4235,342,75,3,0,73,0,420,105,1292,200,0,1494,0,1597,6,373,527,0,907,0,912,0,0,0,0,0,0,3,110,1667,734,0,2400,0,2514,0,0,0,0,3,0,3,453,1743,733,0,2481,0,2935,523,89,4,0
CED116,5057,116,0,0,116,8,5187,183,294,6,0,309,0,496,0,14,3,0,16,0,19,0,0,0,0,0,0,0,188,309,13,0,321,0,511,5,0,0,0,0,16,18,5252,426,11,0,441,27,5713,5279,118,0,0,118,13,5408,171,275,7,0,283,0,454,3,17,8,0,18,0,18,0,0,0,0,0,0,0,174,290,10,0,304,0,479,0,4,0,0,4,6,12,5455,409,10,0,417,20,5896,3197,55,0,0,55,7,3262,93,112,0,0,119,0,207,0,12,5,0,16,0,17,0,0,0,0,0,0,0,95,120,6,0,133,0,226,0,0,0,0,0,8,7,3292,181,6,0,189,11,3489,2191,33,0,0,36,5,2232,51,59,0,0,56,0,111,0,4,0,0,3,0,3,0,0,0,0,0,0,0,53,59,4,0,64,0,115,6,0,0,0,0,6,10,2251,97,5,0,101,9,2357,2594,33,4,0
CED117,4460,331,3,0,335,6,4792,574,1145,23,0,1170,0,1751,0,50,37,0,84,0,85,0,0,0,0,0,0,0,577,1195,63,0,1256,0,1835,10,4,0,0,4,0,15,5040,1528,67,0,1596,3,6641,4199,243,4,0,245,3,4447,435,966,44,0,1009,4,1452,3,44,25,0,76,0,79,0,0,0,0,0,0,0,439,1020,72,0,1089,4,1532,0,0,0,0,0,4,3,4643,1260,76,0,1331,16,5985,2523,127,0,0,129,3,2652,222,510,18,0,531,0,753,3,26,14,0,42,0,41,0,0,0,0,0,0,0,221,536,30,0,571,0,795,0,0,0,0,0,0,7,2748,660,30,0,700,7,3448,1533,64,0,0,64,0,1604,131,283,11,0,289,0,421,0,16,16,0,34,0,36,0,0,0,0,0,0,0,132,294,28,0,321,0,457,0,0,0,0,0,0,0,1667,365,28,0,392,0,2061,1944,78,0,0
CED118,4219,363,5,0,370,0,4596,502,7114,163,6,7290,3,7792,11,266,94,0,355,0,370,0,4,0,0,6,0,6,517,7387,261,7,7654,3,8168,10,15,0,0,15,12,37,4739,7761,265,13,8036,22,12798,4391,283,7,0,286,6,4689,461,7736,170,0,7910,4,8375,4,284,128,0,409,0,418,0,0,0,0,0,0,0,470,8020,295,0,8319,3,8796,3,21,0,0,21,19,45,4861,8325,301,0,8628,26,13521,2520,144,3,0,145,0,2666,219,4055,88,3,4151,0,4367,3,175,80,0,249,0,256,0,3,0,0,3,0,3,224,4233,166,3,4407,0,4631,7,8,0,0,12,7,17,2749,4380,170,3,4559,11,7318,1678,93,0,0,96,7,1779,123,2177,64,0,2248,0,2367,0,118,47,0,165,0,163,0,0,0,0,0,0,0,122,2298,110,0,2408,0,2533,0,0,0,0,0,9,9,1795,2395,114,0,2508,9,4317,2126,111,0,0
CED119,5850,305,0,0,312,3,6159,517,1395,33,0,1428,0,1945,10,70,16,0,86,0,89,0,0,0,0,0,0,0,529,1462,50,0,1512,0,2038,5,0,0,0,0,0,12,6381,1771,51,0,1819,6,8204,6290,215,7,0,226,0,6513,463,1587,36,4,1627,0,2088,11,63,27,0,87,0,100,0,4,0,0,4,0,4,472,1645,64,4,1711,0,2187,6,0,0,0,0,3,11,6769,1870,65,6,1939,9,8716,3964,135,0,0,138,3,4102,236,814,24,0,834,0,1071,3,42,8,0,55,0,54,0,0,0,0,0,0,0,237,862,35,0,889,0,1128,5,0,0,0,0,0,4,4207,996,36,0,1025,4,5234,2604,90,0,0,98,0,2695,127,503,16,3,522,4,654,0,34,10,0,42,0,42,0,0,0,0,0,0,0,133,536,25,3,558,4,696,0,0,0,0,0,0,0,2729,630,26,0,656,4,3394,3292,85,4,0
CED120,8197,274,4,0,270,9,8483,330,716,21,0,738,0,1073,3,40,11,0,53,0,57,0,0,0,0,0,0,0,334,757,33,0,790,0,1127,10,0,0,0,0,11,23,8544,1032,32,0,1063,26,9633,7737,228,3,0,236,16,7984,328,718,22,0,741,3,1078,6,47,25,0,68,0,76,0,0,0,0,0,0,0,333,766,47,0,812,3,1157,12,3,0,0,3,21,39,8081,1001,50,0,1055,41,9179,4616,98,0,0,99,8,4723,151,389,20,0,407,0,560,3,15,10,0,27,0,26,0,4,0,0,4,0,4,155,415,25,0,434,0,590,0,0,0,0,0,6,7,4773,516,22,0,538,13,5328,3031,52,0,0,52,5,3083,100,256,11,0,265,0,365,0,18,4,0,20,0,20,0,3,0,0,3,0,3,100,269,18,0,288,0,384,4,0,0,0,0,8,12,3133,323,18,0,340,11,3477,3547,67,0,0
CED121,6853,108,7,0,121,12,6985,199,414,8,0,427,0,629,5,13,14,0,30,0,33,0,0,0,0,0,0,0,210,428,24,0,455,0,663,7,0,0,0,0,4,8,7065,541,33,0,575,22,7662,6983,102,9,0,110,15,7105,189,378,22,0,397,3,591,4,19,10,0,32,0,30,0,0,0,7,7,0,7,197,396,23,7,426,3,623,4,0,0,0,0,11,19,7187,501,32,7,542,26,7746,3944,50,0,0,51,9,4005,94,194,3,0,197,0,295,3,7,3,0,15,0,20,0,0,0,3,3,0,3,100,209,7,3,215,0,312,0,0,0,0,0,0,0,4042,257,7,3,267,12,4317,2719,23,0,0,27,5,2746,60,109,3,0,109,0,168,0,3,3,0,8,0,6,0,0,0,0,0,0,0,60,108,4,0,116,0,172,6,0,0,0,0,0,3,2786,134,5,0,141,3,2926,3039,46,0,0
CED122,4471,393,0,0,392,5,4870,663,2378,63,0,2445,0,3103,7,108,43,0,152,0,155,0,0,0,0,0,0,0,666,2488,108,0,2598,0,3266,5,5,0,0,5,10,18,5142,2886,107,0,3000,15,8156,3939,260,0,0,258,0,4207,617,2118,91,3,2204,0,2823,12,113,46,0,161,0,173,0,0,0,0,0,0,0,630,2234,137,3,2367,0,2999,4,3,0,0,3,7,10,4578,2497,135,3,2636,6,7221,2458,119,0,0,127,0,2585,284,1110,48,0,1154,0,1445,9,57,33,0,87,0,95,0,0,0,0,0,0,0,290,1163,81,0,1241,0,1538,3,0,0,0,0,4,10,2756,1283,85,0,1368,3,4129,1591,78,0,0,79,0,1668,154,642,24,0,664,0,820,0,40,19,0,54,0,59,0,0,0,0,0,0,0,156,678,45,0,724,0,877,0,0,0,0,0,0,4,1745,759,49,0,806,6,2550,2085,94,0,0
CED123,6767,374,0,0,378,10,7154,394,2547,67,0,2618,3,3010,8,125,33,0,164,0,175,0,0,0,0,0,0,0,403,2679,107,0,2783,3,3186,12,3,0,0,3,9,23,7178,3053,106,0,3167,23,10368,6179,321,0,0,324,11,6512,305,2530,62,3,2593,5,2894,14,128,41,0,174,0,190,0,0,0,0,0,0,0,318,2662,108,3,2764,5,3086,6,9,0,0,9,4,22,6505,2988,108,3,3096,13,9620,3572,152,4,0,156,0,3728,199,1222,35,0,1260,0,1458,7,71,35,0,105,0,110,0,0,0,0,0,0,0,208,1291,61,3,1363,0,1569,5,3,0,0,3,0,8,3786,1449,68,3,1519,3,5308,2376,84,5,0,86,4,2464,116,710,17,0,733,4,845,4,49,24,0,74,0,77,0,0,0,0,0,0,0,114,756,44,0,805,4,919,0,0,0,0,0,5,8,2492,838,50,0,892,8,3390,2755,100,0,0
CED124,4376,65,0,0,65,6,4448,127,181,0,0,181,0,314,0,4,3,0,12,0,12,0,0,0,0,0,0,0,127,186,11,0,192,0,319,3,0,0,0,0,6,15,4512,250,11,0,256,12,4782,5149,48,0,0,48,13,5211,116,165,4,0,176,0,294,3,4,7,0,13,0,14,0,0,0,0,0,0,7,119,172,17,0,188,0,309,10,0,0,0,0,7,22,5284,219,17,0,236,20,5538,3474,40,0,0,40,4,3517,66,80,4,0,81,0,148,0,0,5,0,6,0,12,0,0,0,0,0,0,0,71,77,13,0,86,0,159,5,0,0,0,0,8,10,3546,120,13,0,126,15,3684,2350,22,0,4,25,9,2380,48,40,3,0,43,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,40,7,0,47,0,95,3,0,0,0,0,3,7,2398,59,7,4,71,13,2477,2618,20,0,0
CED125,6087,593,8,0,602,6,6703,705,5410,134,3,5540,8,6255,12,345,99,0,441,0,460,0,9,0,0,9,0,10,723,5757,232,3,5995,8,6722,14,21,0,0,23,6,43,6820,6375,240,4,6617,26,13467,5253,370,9,0,382,11,5641,542,5110,143,3,5266,9,5817,18,306,107,0,413,0,432,0,7,0,0,7,0,7,562,5428,258,3,5686,9,6252,8,24,0,0,25,10,44,5817,5814,272,6,6092,30,11941,2901,188,11,0,196,9,3103,250,2504,85,0,2588,6,2846,13,187,88,0,270,0,287,0,9,0,0,9,0,9,269,2696,168,0,2866,6,3134,0,7,0,0,7,3,8,3165,2886,178,0,3073,12,6252,1890,129,3,0,136,3,2030,175,1455,73,0,1529,5,1708,3,121,65,0,188,0,191,0,0,0,0,0,0,0,182,1577,138,0,1713,5,1896,0,7,0,0,7,0,6,2072,1709,139,0,1856,10,3930,2203,124,3,0
CED126,5364,258,0,0,265,10,5634,511,963,17,0,982,4,1497,6,18,16,0,27,0,33,0,0,0,0,0,0,4,510,985,27,0,1015,4,1531,3,0,0,0,0,4,8,5885,1248,30,0,1280,13,7176,6378,263,3,0,264,0,6643,452,959,29,0,985,0,1443,9,24,19,0,46,0,57,0,0,0,0,0,0,0,466,984,49,0,1033,0,1498,3,5,0,0,5,4,11,6845,1248,52,0,1298,5,8155,4173,143,3,0,147,0,4324,265,495,14,0,506,0,779,4,13,10,0,27,0,28,3,0,0,0,0,0,3,277,507,26,0,536,0,808,0,0,0,0,0,4,0,4452,655,27,0,683,5,5137,2902,81,0,0,81,3,2981,157,334,8,0,340,0,499,0,11,13,0,18,0,24,0,0,0,0,0,0,0,158,340,21,0,360,0,526,3,0,0,0,0,3,7,3057,419,21,0,444,11,3513,3722,97,0,0
CED127,5784,190,7,0,198,12,5991,250,354,3,0,359,0,612,6,16,5,0,21,0,28,0,0,0,0,0,0,0,258,367,14,0,375,0,643,11,0,0,0,0,0,13,6053,556,20,0,576,10,6643,5999,160,0,0,158,4,6165,250,321,12,0,335,0,585,4,18,9,0,22,0,33,0,3,0,0,3,0,3,259,339,20,0,362,0,620,9,4,0,0,4,5,15,6263,502,21,0,522,9,6792,3810,86,5,0,91,0,3898,153,212,8,0,214,0,365,7,16,11,0,22,0,31,0,0,0,0,0,0,0,162,229,17,0,243,0,401,3,0,0,0,0,0,6,3968,312,18,0,329,0,4301,2502,56,0,0,56,3,2561,86,142,5,0,150,0,233,0,7,4,0,10,0,11,0,0,0,0,0,0,0,90,148,12,0,160,0,244,0,0,0,0,0,0,0,2588,206,9,0,221,0,2810,3190,60,0,0
CED128,2374,393,13,0,404,8,2781,466,4053,527,4,4580,7,5048,15,644,633,0,1275,3,1296,0,9,0,6,8,0,8,474,4697,1162,8,5866,12,6358,5,17,6,0,26,11,43,2860,5102,1182,13,6294,32,9191,2456,323,11,0,332,0,2794,344,3877,498,6,4382,6,4727,20,627,850,0,1483,3,1504,0,7,0,5,11,0,10,364,4510,1346,16,5874,8,6248,4,9,8,0,20,20,43,2824,4842,1369,19,6228,26,9077,1464,151,7,0,159,4,1623,187,2234,322,6,2560,3,2752,3,413,594,4,1016,0,1021,0,3,0,3,4,0,3,193,2649,920,9,3578,4,3780,5,10,0,0,9,6,25,1661,2815,930,9,3752,9,5426,995,92,5,0,97,3,1093,122,1389,219,6,1612,0,1732,0,252,452,3,704,0,703,0,0,0,0,3,0,3,120,1644,673,5,2317,0,2443,4,3,0,0,3,5,14,1121,1734,677,5,2422,11,3542,1204,121,3,0
CED129,4336,368,3,0,368,5,4710,571,4765,107,4,4874,4,5454,6,178,73,0,251,0,257,0,9,0,0,9,0,8,581,4945,182,5,5131,3,5715,11,14,0,0,14,9,27,4930,5325,183,5,5519,11,10463,5184,301,3,0,302,4,5488,570,6398,196,3,6593,0,7168,7,283,128,0,411,0,421,0,5,0,0,4,0,5,583,6681,325,3,7015,3,7595,3,16,0,0,17,4,25,5765,7001,330,3,7331,9,13108,3495,158,0,0,164,0,3660,300,3199,110,0,3308,3,3606,0,192,81,0,271,0,272,0,4,0,0,4,3,6,300,3391,192,0,3583,7,3892,0,0,0,0,3,0,3,3798,3553,194,0,3751,6,7558,2465,91,0,0,94,5,2560,176,1776,65,0,1831,0,2010,9,83,58,0,138,0,147,0,0,0,0,0,0,0,185,1852,120,0,1974,0,2161,0,4,0,0,4,0,4,2650,1950,120,0,2074,8,4721,3318,127,0,0
CED130,5065,58,0,0,62,3,5138,158,468,20,0,489,0,642,3,47,28,0,74,0,77,0,0,0,0,0,0,0,157,517,49,0,564,0,722,0,5,0,0,5,6,10,5232,586,49,0,629,11,5867,5635,67,0,0,68,9,5709,146,386,33,0,418,0,562,5,45,53,3,100,4,104,0,0,0,0,0,0,0,151,432,85,3,516,4,668,4,0,0,0,0,7,12,5784,493,85,3,582,18,6387,3537,40,0,0,39,6,3581,68,191,12,0,200,0,266,3,29,38,0,62,0,63,0,0,0,0,0,0,0,71,215,54,0,265,0,339,5,0,0,0,0,0,7,3616,253,53,0,307,7,3931,2460,18,0,0,21,3,2486,43,101,4,0,100,0,147,0,13,20,0,29,0,35,0,0,0,0,0,0,0,43,110,23,0,139,0,183,0,3,0,0,3,4,10,2508,136,29,0,159,14,2678,2820,21,0,0
CED131,5557,206,0,0,209,7,5768,239,771,34,0,804,0,1045,9,102,32,0,137,0,143,0,0,0,0,0,0,4,246,874,68,0,946,0,1191,6,4,0,0,4,4,17,5804,1087,64,0,1154,12,6974,5475,151,0,0,160,3,5641,304,715,32,0,746,0,1053,0,131,57,0,188,0,193,0,0,0,0,0,0,0,309,847,88,0,942,0,1244,3,0,0,0,0,8,10,5787,1003,94,0,1097,13,6894,3263,70,0,0,70,0,3334,143,425,16,0,445,0,588,3,53,34,0,81,0,87,4,0,0,0,0,0,4,148,476,56,0,531,0,680,0,0,0,0,0,0,3,3413,546,56,0,599,0,4010,2091,36,0,0,41,0,2129,61,189,9,0,200,0,260,0,35,23,0,59,0,59,0,0,0,0,0,0,0,67,221,34,0,259,0,321,0,0,0,0,0,4,4,2154,261,34,0,296,4,2454,2675,51,0,0
CED132,4174,308,0,0,310,6,4490,803,2361,45,6,2403,7,3210,0,98,18,0,115,0,120,0,4,0,0,7,0,7,808,2458,71,4,2527,7,3340,0,4,0,0,4,4,17,4989,2770,71,5,2838,14,7845,4344,220,3,0,216,3,4564,665,2509,83,0,2597,0,3258,4,146,74,0,216,0,216,0,4,0,0,4,0,4,670,2656,157,0,2817,0,3481,6,9,0,0,9,9,20,5014,2885,155,0,3041,10,8069,2756,103,0,0,106,3,2860,287,1123,40,0,1163,0,1451,4,66,33,0,98,0,97,0,0,0,0,0,0,0,288,1186,70,0,1256,0,1548,0,3,0,0,3,5,6,3046,1292,76,0,1368,3,4417,1944,60,0,0,60,0,2000,158,582,35,0,617,0,777,0,30,25,0,56,0,56,0,0,0,0,0,0,0,162,614,54,0,669,0,832,0,0,0,0,0,0,5,2106,672,54,0,726,0,2836,2597,67,6,0
CED133,4993,75,0,0,75,4,5070,186,361,17,0,385,0,563,6,18,9,0,25,0,35,0,0,0,0,0,0,0,189,383,25,0,411,0,595,10,0,0,0,0,13,25,5194,455,25,0,483,21,5692,5611,88,0,0,97,5,5711,162,334,25,3,361,0,530,6,16,7,0,20,0,28,0,0,0,0,0,0,3,172,351,28,4,386,0,561,8,0,0,0,0,16,21,5786,443,31,6,477,25,6292,3726,51,0,0,51,0,3778,86,173,16,0,185,0,275,4,13,3,0,16,0,19,0,0,0,0,0,0,0,93,183,19,4,202,0,295,4,0,0,0,0,4,9,3824,233,19,4,257,6,4084,2479,33,0,0,29,3,2521,66,94,4,0,95,0,162,6,7,3,0,11,0,14,0,0,0,0,0,0,0,67,108,8,0,109,0,180,4,0,0,0,0,7,8,2555,136,8,0,144,11,2706,2799,29,0,0
