CED_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
CED111,2961,802,3660,987,196,10261,11650,11973,3899,183,5415,4393,1244,2035,12688,841,10168,93791,4887,143877,299,99,102,248,128,153,38,55,256,61,297,627,6080,7539,15598,13360,5053,1574,7369,6401,1928,3138,15907,1705,14128,95406,11162,161676,13,17,6,4,7,3,0,0,26,0,17,256,7,328,548,169,226,57,270,395,88,182,331,82,315,927,68,2412,559,187,230,56,276,400,88,185,354,87,332,1186,83,2736,14595,11098,4688,1105,6875,5704,1730,2850,14676,1526,12257,71806,4048,124980,424,105,104,414,185,260,76,84,349,86,396,369,5093,6519,15572,11392,5027,1574,7329,6364,1895,3113,15378,1699,12984,73358,9220,134240
CED112,3929,892,4819,1086,372,12190,14303,14142,4392,213,6866,5600,1245,2785,14524,1126,10069,85614,5467,141351,282,136,107,196,138,175,52,93,307,63,170,661,7673,9178,18486,16243,5740,1647,8903,7893,2072,4317,18754,2084,15060,87361,13504,162722,16,8,0,0,0,4,0,3,7,0,10,139,8,185,919,301,341,101,510,612,129,274,551,155,476,1153,102,3421,935,310,335,101,514,611,130,282,562,162,483,1289,108,3605,17091,13091,5237,1236,8146,6948,1816,3857,16667,1813,12584,62343,4340,120269,428,190,121,307,199,284,83,132,407,94,320,410,6257,7869,18447,13592,5696,1641,8855,7842,2029,4274,17628,2070,13386,64042,10703,131734
CED113,2648,653,3355,706,155,8648,14897,13060,4540,158,6098,5469,1375,2574,12892,944,10210,88625,4755,142559,170,130,39,5,75,59,22,40,104,29,96,651,9199,10326,18148,14481,5534,1089,7524,7147,1970,3603,15643,1618,13666,89990,14113,161530,214,107,50,0,38,27,9,12,200,4,210,1336,44,2011,1244,411,453,80,578,665,155,272,874,123,772,2282,147,5584,1463,522,505,77,621,686,166,283,1073,130,985,3620,185,7588,16423,11768,4950,944,6726,6297,1734,3219,13702,1443,11375,63418,3751,116492,228,89,68,64,115,126,39,61,128,41,157,568,7692,8872,18112,12378,5525,1089,7463,7115,1938,3560,14901,1614,12524,67601,11634,132953
CED114,3203,852,3878,1002,216,11007,14503,15423,4606,235,7073,6034,1235,2758,13101,1066,8500,92336,5683,148424,226,159,63,33,106,120,39,57,152,34,120,861,12250,13687,18510,17464,5863,1489,8995,8226,1926,4025,16450,1959,12499,94197,18150,173116,20,12,10,0,11,5,0,3,21,0,21,175,9,250,1022,350,444,85,572,703,130,316,632,161,475,1337,111,3965,1048,363,448,82,576,708,131,325,652,160,496,1515,122,4214,17010,14128,5264,1214,8189,7215,1694,3574,14827,1733,10453,67931,4558,125250,408,176,113,186,172,244,62,108,226,57,285,701,9833,11542,18471,14666,5826,1487,8939,8164,1893,4000,15703,1950,11234,70149,14512,141007
CED115,3283,1002,5467,1856,275,14596,6855,7895,2011,171,7426,3289,795,905,5362,587,8176,109284,4919,146192,153,83,47,166,182,113,27,40,158,51,303,987,11117,12736,11288,9421,3172,1589,11157,5807,1607,1773,8804,1641,13948,112127,16308,173523,0,4,0,0,0,0,0,0,6,0,7,111,11,133,162,52,63,16,118,127,23,54,88,24,88,269,27,722,168,55,63,16,123,130,28,56,95,25,94,375,35,855,10813,7633,2996,1276,10744,5433,1499,1629,8169,1522,12503,85885,4224,131172,281,97,83,288,253,207,52,68,301,95,489,682,8869,10444,11265,7783,3146,1584,11120,5771,1572,1751,8566,1635,13094,86941,13130,142478
CED116,3897,1041,4576,900,249,12432,18657,12609,5758,313,7580,7029,1839,3359,13461,1290,10365,81542,5227,140406,223,149,62,37,84,108,35,45,148,35,106,674,9648,10907,23593,14550,7370,1890,9789,9634,2783,4956,17505,2361,15049,83110,15120,163743,130,84,21,0,19,21,12,9,118,0,127,1306,47,1767,1665,455,679,136,849,1006,239,451,949,224,867,1939,144,5890,1793,534,704,137,870,1032,247,461,1073,229,987,3244,194,7662,21311,11968,6525,1591,8678,8342,2440,4350,15484,2044,12850,59697,4217,120854,458,171,123,167,188,224,66,107,234,81,205,541,7988,9546,23559,12681,7350,1889,9733,9597,2755,4908,16783,2355,14047,63484,12397,138060
CED117,1798,445,2368,668,253,6691,6893,11324,2988,134,3517,2944,621,1092,13770,498,10044,93314,3754,137158,79,69,19,14,37,46,9,5,74,3,61,514,6080,6882,8927,12067,3662,992,4737,4035,958,1568,15648,947,12469,94495,10087,150729,18,18,3,0,0,0,0,0,35,0,23,284,7,367,174,87,89,14,92,142,20,59,147,27,154,639,32,1268,191,99,92,14,90,136,20,59,176,30,177,922,43,1637,8596,10721,3519,807,4563,3803,906,1473,14965,872,11449,74278,3282,120368,124,51,31,174,64,79,12,21,111,43,100,385,5533,6350,8916,10870,3641,989,4723,4016,937,1555,15252,947,11717,75586,8864,128354
CED118,2172,565,3351,1152,127,8941,8383,12122,2595,106,8826,4096,848,1271,9168,585,10151,134580,4586,181982,103,97,33,23,113,64,13,18,96,21,105,1014,9201,10623,10941,13292,3402,737,10814,5618,1340,2003,11437,1167,13602,136745,13916,201542,32,18,7,0,3,0,0,0,27,0,27,291,12,383,337,115,157,32,266,228,40,105,197,47,185,605,44,1525,364,131,163,32,270,228,40,106,222,44,210,892,59,1906,10442,10565,3180,651,10395,5241,1243,1850,10529,1089,11700,97347,3616,146018,106,61,26,53,85,72,21,22,84,21,138,608,7446,8436,10918,10762,3370,737,10752,5549,1308,1975,10835,1153,12054,98846,11118,156361
CED119,1610,475,2511,729,154,6631,9917,11023,3707,165,5189,4405,879,1313,8980,688,9423,93718,4477,138347,247,108,116,274,101,203,34,37,283,33,314,560,4032,5317,12219,11901,4540,1204,6345,5762,1280,1883,10877,1199,12245,95006,8661,150300,71,48,6,0,0,10,0,3,68,0,45,1060,39,1312,495,158,248,58,275,409,86,116,251,82,251,962,61,2332,558,209,257,56,275,416,85,116,322,87,299,2023,103,3640,11315,9660,4129,798,5912,5066,1112,1695,9660,1068,10300,67816,3554,112101,313,85,118,348,107,228,50,46,306,42,318,254,3352,4364,12190,9955,4507,1198,6301,5713,1256,1856,10294,1198,10917,70092,7012,120095
CED120,2815,651,3795,982,224,9692,14108,13873,4242,173,6813,5429,1170,2295,12309,882,10156,98473,5632,153279,171,104,45,12,76,73,14,28,90,15,86,667,8022,9123,17492,15382,5259,1218,8378,7168,1764,3286,15219,1549,14028,100123,13880,172094,28,8,8,0,8,10,0,3,29,0,23,218,9,306,816,240,326,58,443,536,115,199,475,79,476,1329,92,3407,837,250,331,60,450,542,116,200,505,76,500,1541,108,3710,16312,12206,4807,1024,7719,6356,1545,2964,13610,1387,11783,70029,4414,124837,313,110,80,130,141,198,58,81,236,72,138,442,6425,7559,17465,12570,5222,1214,8312,7093,1721,3245,14351,1540,12421,72016,10945,136113
CED121,4586,1067,5175,984,263,12990,15851,15824,4393,218,7690,6360,1393,2932,16237,1106,10415,89656,6157,150910,189,156,65,25,89,92,22,67,151,39,92,672,9259,10519,20649,18199,5838,1869,10092,8954,2271,4441,20979,2204,15679,91319,15683,174420,22,33,7,0,8,3,4,5,20,0,30,612,20,732,1073,374,406,112,613,682,148,323,733,167,589,1420,114,4164,1097,407,412,115,624,689,148,330,758,167,623,2031,131,4897,19198,14428,5313,1630,9280,8030,2020,3998,18888,1956,13274,64212,4605,127343,315,126,83,121,140,159,63,59,164,68,138,480,7871,9051,20608,14961,5805,1869,10038,8877,2230,4389,19813,2188,14030,66718,12605,141295
CED122,1725,558,2624,910,114,7695,7865,10292,3288,175,4872,3620,817,1115,9367,597,9051,120540,4348,163024,164,115,89,262,122,163,64,43,276,56,304,796,9631,11214,10403,11172,4188,1327,6355,5068,1345,1715,11365,1211,11981,122242,14093,181933,49,45,7,0,3,8,5,0,84,5,65,1033,34,1282,270,84,131,43,133,208,37,56,150,50,178,663,44,1475,317,137,136,43,140,213,37,62,229,54,242,1694,78,2754,9860,9667,3934,988,6059,4655,1237,1575,10536,1082,10591,96795,3748,141980,197,77,90,298,129,167,56,50,265,65,270,605,8422,9799,10382,9882,4158,1327,6329,5037,1333,1687,11036,1197,11110,99093,12246,154528
CED123,3319,688,4084,1180,244,10483,11472,15208,3294,156,8083,4835,1107,2039,13947,821,10837,109110,5708,164829,125,132,45,26,93,75,20,34,114,7,111,714,11366,12538,14736,17052,4243,859,10166,6673,1720,3093,17385,1516,15034,111007,17315,187851,38,31,9,0,11,9,4,0,48,0,39,347,9,488,653,227,255,55,451,436,90,183,430,92,383,1045,77,2783,686,254,265,55,467,441,94,185,482,96,421,1386,84,3275,13862,13670,3921,772,9546,6093,1568,2823,15859,1387,12733,77945,4427,134394,145,77,37,27,81,67,20,34,112,19,75,506,9150,10048,14693,14003,4211,851,10088,6601,1675,3038,16458,1501,13231,79839,13657,147710
CED124,4084,1153,4621,882,299,12975,18118,13362,5534,370,7527,7180,1564,3491,13061,1355,9368,77007,5121,134707,269,170,93,49,104,110,38,72,183,40,122,747,8216,9666,23307,15630,7199,2038,9824,9984,2484,5117,17327,2554,14108,78631,13633,157347,13,8,6,0,0,3,0,0,16,0,12,125,5,176,1492,419,623,153,804,985,215,467,830,248,704,1734,166,5323,1506,424,628,153,805,985,211,466,845,246,720,1857,172,5498,21269,12694,6385,1522,8738,8646,2170,4482,15299,2176,12016,57760,4223,118495,508,207,167,372,229,306,88,137,398,126,286,657,6655,8587,23289,13324,7179,2039,9775,9936,2471,5096,16543,2550,13021,60272,11044,132575
CED125,3327,770,4511,1347,227,11573,12212,15154,3284,159,9535,4793,1079,1870,11784,829,10988,126551,5780,182664,175,129,62,76,125,102,42,66,150,37,174,928,9772,11255,16011,17145,4336,834,12019,6730,1782,2972,15262,1632,15671,128826,15776,205501,23,19,0,0,10,4,3,0,17,0,12,254,11,338,667,204,218,39,414,380,69,148,327,72,346,832,59,2351,692,227,220,39,421,386,76,148,346,69,364,1088,74,2694,15086,13591,4024,724,11409,6145,1618,2717,13911,1511,13219,88957,4462,146614,192,88,54,70,104,111,37,69,120,41,132,623,7194,8309,15968,13901,4301,829,11941,6645,1728,2926,14376,1622,13719,90672,11730,157621
CED126,1491,605,2393,663,126,6727,9842,10056,4406,211,4087,4872,748,1401,8404,742,8477,99087,4682,142763,162,73,79,108,41,74,15,21,142,39,183,652,4755,5894,12057,10738,5231,1746,4955,6176,1099,2001,10039,1393,11056,100403,9557,155387,27,13,4,0,3,5,4,4,26,0,14,153,7,214,554,173,305,129,287,517,77,146,257,112,310,964,70,2563,574,181,308,133,284,529,77,151,286,112,326,1113,80,2781,11272,8956,4840,1426,4575,5528,975,1800,9218,1208,9591,75101,3847,119453,181,50,56,181,56,93,12,20,126,57,211,354,3994,4894,12027,9193,5209,1738,4919,6145,1071,1970,9629,1380,10126,76568,7920,127120
CED127,2617,607,3302,815,227,8299,11660,11947,4084,154,5527,5093,963,2116,12438,767,10420,81192,4788,130984,149,96,40,42,65,81,18,43,102,16,80,522,5107,6043,14371,13169,4975,1042,6788,6609,1407,2974,15153,1390,13799,82527,10123,145330,46,36,19,0,5,17,3,3,49,0,43,396,17,565,822,267,384,80,480,617,90,239,493,141,509,1281,87,3552,866,306,399,80,485,628,92,237,541,143,555,1679,102,4116,13304,10907,4495,813,6193,5848,1254,2664,13719,1213,11769,59674,3809,109693,161,71,52,146,53,83,20,37,165,29,171,305,4258,5043,14331,11281,4949,1042,6726,6559,1375,2938,14426,1378,12495,61648,8169,118852
CED128,3148,784,5076,1672,304,13799,8594,9185,2430,147,7743,3931,803,1173,6337,593,8410,109313,4901,150022,173,93,27,33,113,79,28,30,93,19,95,942,10422,11828,12975,10694,3536,1122,11106,6386,1593,2084,9582,1394,13581,111925,15631,175649,6,9,0,0,0,0,0,0,6,0,4,76,5,106,261,79,111,19,194,201,38,88,143,43,147,425,32,1148,271,90,111,19,199,207,38,90,152,43,146,503,36,1249,12489,8514,3355,1047,10754,6037,1486,1929,8926,1307,12204,82005,4085,129595,181,68,39,47,112,86,31,29,128,30,84,633,8040,9118,12941,8674,3506,1120,11059,6329,1551,2049,9201,1385,12436,83141,12165,139961
