CED_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
CED111,5,6,6,11,4,29,1846,277,30,58,16,12,16,34,17,0,15,477,5,0,0,0,0,0,0,0,0,0,8,1928,126,100,29,13,20,38,20,4,51,2331,3,0,0,0,0,0,0,0,0,11,12,4920,218,132,30,15,26,42,29,8,126,5553,2858,36,26,6,4,5,10,0,0,51,3000,1692,16,16,4,0,0,0,3,0,40,1776,571,19,40,13,7,4,32,11,0,12,714,7,0,0,0,0,0,0,0,0,0,9,2269,37,56,18,9,12,30,14,0,57,2503,6,0,0,0,0,0,0,0,0,27,27,5127,71,85,27,18,15,43,11,3,136,5528,1696,12,11,5,0,0,9,0,0,57,1787,1228,0,5,0,4,0,0,4,0,27,1266,813,10,14,4,0,0,7,0,0,42,905,9,0,0,0,0,0,0,0,0,3,11,2051,10,21,4,4,0,7,0,0,78,2181,11,0,0,0,0,0
CED112,5,8,7,4,0,17,834,89,26,20,3,5,0,11,0,0,8,162,3,0,0,0,0,0,0,0,0,0,3,785,99,39,8,8,8,18,4,0,25,1003,3,0,0,0,0,0,0,0,0,10,12,3581,231,90,16,14,11,19,11,0,89,4061,2821,70,46,4,5,3,11,10,0,78,3051,731,14,16,4,3,5,10,0,3,16,796,126,12,38,7,9,4,10,4,0,9,216,3,0,0,0,0,0,0,0,0,0,3,855,27,53,9,4,10,15,6,4,17,1014,8,0,0,0,0,0,0,0,0,9,14,3687,92,96,13,11,18,30,16,4,107,4079,2030,42,30,5,0,3,9,0,0,86,2201,447,4,0,0,0,0,0,0,0,18,485,103,9,7,3,0,3,5,0,0,7,135,0,0,0,0,0,0,0,0,0,0,0,554,16,13,3,0,3,5,0,0,25,618,22,0,0,0,0,0
CED113,4,6,14,7,0,16,846,62,15,17,8,3,6,13,6,0,3,137,4,0,0,0,0,0,0,0,0,0,4,766,82,47,7,3,6,28,14,0,24,985,0,0,0,0,0,0,0,0,0,6,9,3556,213,115,15,12,13,37,19,3,113,4094,3089,40,23,4,5,4,3,0,0,101,3266,672,12,9,0,4,4,9,4,0,15,723,97,7,4,3,0,4,11,3,0,0,144,10,0,0,0,0,0,0,0,0,0,10,778,20,10,3,6,5,19,11,4,16,870,7,0,0,0,0,0,0,0,0,0,13,3870,58,38,9,6,15,24,11,4,124,4153,1687,21,9,0,3,0,0,5,0,70,1787,519,0,0,0,0,0,0,0,0,4,541,111,3,6,0,0,0,0,3,0,4,131,4,0,0,0,0,0,0,0,0,0,9,639,4,3,0,0,0,5,4,0,11,672,10,0,0,0,0,0
CED114,10,9,11,6,0,10,619,71,35,61,17,16,30,80,38,0,9,359,0,0,0,0,0,3,0,0,0,3,6,503,136,109,21,29,40,91,46,0,24,991,0,0,0,0,0,0,0,0,0,0,7,1927,231,144,29,34,44,100,49,4,75,2630,1725,25,11,0,0,0,3,4,0,95,1868,441,13,13,0,0,4,7,0,0,15,498,89,19,34,4,10,4,24,12,0,5,200,5,0,0,0,0,0,0,0,0,0,11,532,30,53,8,12,6,28,12,0,24,709,8,0,0,0,0,0,0,0,0,3,7,2259,58,64,13,13,11,34,12,5,119,2579,1178,6,5,0,0,0,0,0,0,56,1254,396,0,3,0,0,0,5,0,0,15,422,127,7,12,0,0,0,7,0,0,7,166,8,0,0,0,0,0,0,0,0,3,8,530,9,18,0,0,0,7,0,0,28,592,0,0,0,0,0,0
CED115,37,17,26,11,6,183,7809,5430,603,637,269,167,137,233,97,11,250,7832,25,3,9,0,0,0,0,0,0,10,37,12430,913,830,323,208,153,257,115,15,443,15683,15,0,0,0,0,0,0,0,0,74,89,13708,948,857,323,216,155,261,115,15,546,17151,1290,12,4,0,4,0,0,0,0,34,1338,4811,92,57,19,7,11,20,9,0,103,5138,4858,395,374,165,90,79,117,45,3,129,6265,35,0,3,0,0,0,0,0,0,8,50,9712,485,437,188,101,93,138,53,5,236,11448,11,0,0,0,0,0,0,0,0,69,82,11006,497,446,184,102,93,138,53,5,339,12875,565,0,0,0,0,0,0,5,0,26,599,2016,24,19,3,4,0,3,0,0,49,2113,2721,154,163,82,38,28,37,24,0,96,3348,21,0,0,0,0,0,0,0,0,14,30,4751,184,179,88,41,28,45,23,0,159,5498,9,0,0,0,0,0
CED116,4,0,3,0,0,15,545,32,12,10,5,0,0,15,5,0,3,80,0,0,0,0,0,0,0,0,0,0,0,500,39,30,7,3,3,21,6,3,20,623,0,0,0,0,0,0,0,0,0,13,16,3702,166,82,13,15,9,27,12,3,153,4184,4415,44,47,8,6,9,18,0,0,165,4717,648,12,9,0,0,0,0,0,0,11,680,73,4,10,4,0,0,7,0,0,3,115,4,0,0,0,0,0,0,0,0,0,4,731,12,20,7,0,0,7,0,0,17,793,5,0,0,0,0,0,0,0,0,21,31,5151,60,69,12,7,5,25,3,7,204,5547,3008,45,19,0,5,4,0,3,0,122,3209,523,0,0,0,0,0,0,0,0,29,556,72,3,0,0,0,0,4,0,0,8,84,3,0,0,0,0,0,0,0,0,0,7,594,7,0,0,0,0,4,0,0,40,646,14,0,0,0,0,0
CED117,3,0,10,11,0,46,2150,598,58,57,12,8,16,18,21,0,24,812,5,0,0,0,0,0,0,0,0,0,6,2565,134,89,20,12,23,22,27,0,74,2971,3,0,0,0,0,0,0,0,0,11,14,5854,258,159,23,20,30,30,33,6,133,6547,2281,39,23,0,6,7,4,0,0,53,2415,1824,19,13,0,3,0,4,0,3,47,1914,825,50,73,24,19,3,21,10,0,36,1063,5,0,0,0,0,0,0,0,0,0,11,2652,65,84,25,21,9,25,14,0,83,2984,3,0,0,0,0,0,0,0,0,12,24,4939,106,107,26,26,13,27,10,5,156,5415,959,4,6,0,0,0,0,0,0,36,1005,1270,4,0,0,0,0,5,3,0,50,1338,1180,28,21,0,6,0,13,3,0,89,1335,9,0,0,0,0,0,0,0,0,8,14,2453,36,21,3,6,0,19,9,0,145,2691,0,0,0,0,0,0
CED118,34,18,80,33,9,73,6523,804,186,189,61,47,56,168,95,16,50,1677,8,0,0,0,3,0,0,0,0,5,19,6303,772,367,85,82,76,250,131,20,127,8216,10,0,0,0,0,0,0,0,0,33,45,8550,928,436,93,86,81,262,134,23,188,10781,1952,44,32,3,3,0,10,10,0,23,2083,3415,145,156,25,25,41,92,59,9,62,4016,863,211,290,68,35,71,156,103,10,51,1851,9,0,0,0,0,0,0,0,0,0,14,4286,360,441,89,57,108,251,165,18,113,5881,3,0,0,0,0,0,0,0,0,15,18,6243,409,476,95,61,105,259,172,17,155,7983,990,23,3,0,0,0,0,0,0,24,1047,1329,81,46,12,10,6,28,13,0,29,1557,629,122,89,15,17,11,38,22,3,23,970,9,0,0,0,0,0,0,0,0,7,12,1965,208,134,30,26,19,61,36,3,56,2535,3,0,0,0,0,0
CED119,12,8,9,5,0,25,2570,302,51,40,22,10,12,37,6,0,13,488,0,0,0,0,0,0,0,0,0,0,0,2674,158,79,24,20,18,47,11,5,37,3068,0,0,0,0,0,0,0,0,0,13,16,5363,265,112,35,22,27,49,15,5,74,5953,2092,18,23,0,0,3,10,0,0,36,2180,1667,43,24,0,9,0,3,3,0,23,1767,345,53,72,17,6,21,35,9,5,7,562,6,0,0,0,0,0,0,0,0,0,6,2014,92,98,19,8,21,37,16,5,27,2330,3,0,0,0,0,0,0,0,0,38,39,4101,114,120,14,11,25,44,16,5,106,4556,1379,17,13,0,0,0,0,5,0,30,1446,684,9,4,0,6,0,3,4,0,14,720,266,41,34,9,11,3,13,0,0,10,395,0,0,0,0,0,0,0,0,0,0,6,950,46,41,10,12,10,13,5,0,28,1114,3,0,0,0,0,0
CED120,0,4,12,0,0,23,926,96,23,22,3,7,0,16,3,0,3,171,0,0,0,0,0,0,0,0,0,0,0,901,79,36,7,7,4,28,5,0,24,1104,3,0,0,0,0,0,0,0,0,15,17,3724,174,75,15,9,15,29,13,0,116,4168,2913,30,27,0,0,6,0,5,0,108,3096,845,22,21,6,0,0,3,4,0,17,914,143,19,20,4,6,0,21,6,0,9,218,0,0,0,0,0,0,0,0,0,0,0,987,33,38,4,6,0,21,7,0,29,1132,5,0,0,0,0,0,0,0,0,15,23,3912,71,63,7,4,4,27,9,0,152,4249,1601,15,18,0,0,0,4,0,0,68,1703,404,4,0,0,0,0,0,3,0,8,426,106,4,9,0,7,0,0,0,0,7,133,0,0,0,0,0,0,0,0,0,0,7,512,5,9,0,4,0,0,0,0,21,559,6,0,0,0,0,0
CED121,6,11,6,3,0,11,495,39,11,18,0,3,0,10,0,0,0,77,3,0,0,0,0,0,0,0,0,0,6,431,56,40,3,9,8,14,3,0,11,578,4,0,0,0,0,0,0,0,0,37,41,2439,169,89,14,14,18,14,10,3,87,2861,2366,43,13,0,0,4,7,7,0,58,2507,355,19,8,0,0,0,4,9,0,6,402,37,10,7,0,0,0,9,0,0,0,66,4,0,0,0,0,0,0,0,0,0,4,398,30,15,0,0,0,11,7,0,10,469,3,0,0,0,0,0,0,0,0,33,37,2766,73,34,3,0,7,14,12,0,104,3019,1510,17,12,0,0,0,0,0,0,102,1638,211,7,3,0,0,0,0,0,0,20,238,34,9,6,0,0,0,3,0,0,5,50,0,0,0,0,0,0,0,0,0,0,0,245,16,5,0,0,0,3,0,0,22,291,3,0,0,0,0,0
CED122,11,14,26,15,3,48,4169,630,108,89,22,18,20,54,34,11,32,1011,3,0,0,0,0,0,0,0,0,5,8,4388,306,176,33,27,34,73,48,12,86,5190,5,0,0,0,0,0,0,0,0,54,57,7696,442,253,41,37,40,89,56,14,185,8859,2585,39,18,4,0,7,11,0,6,41,2712,3271,48,21,4,9,6,23,13,0,41,3432,955,89,104,15,22,20,53,34,6,31,1320,10,0,0,0,0,0,0,0,0,0,12,4237,134,122,27,27,22,73,41,6,76,4764,8,0,0,0,0,0,0,0,0,51,60,6835,177,144,30,27,35,86,45,9,167,7546,1324,38,31,3,3,5,8,5,0,34,1455,2116,8,15,3,0,0,4,0,4,63,2223,1080,70,31,0,0,7,17,8,0,31,1249,6,0,0,0,0,0,0,0,0,3,9,3203,85,47,8,9,9,19,11,3,95,3481,9,0,0,0,0,0
CED123,10,10,19,15,4,31,2488,271,78,81,15,15,22,50,15,7,19,567,10,0,0,0,0,0,0,0,0,0,9,2392,268,166,29,20,30,72,31,8,53,3070,3,0,0,0,0,0,0,0,0,33,38,5512,380,225,36,25,29,68,32,8,145,6468,2967,22,22,0,6,3,5,4,0,56,3088,1732,43,33,8,9,7,19,11,4,28,1889,331,70,105,17,8,19,57,19,6,24,655,6,0,0,0,0,0,0,0,0,3,11,2068,111,138,29,15,26,76,32,8,48,2553,8,0,0,0,0,0,0,0,0,18,29,5036,139,164,29,26,27,85,34,8,125,5670,1689,6,6,0,6,0,0,0,0,34,1742,897,17,11,0,0,0,3,0,0,11,946,342,34,39,4,3,3,14,3,0,8,445,17,0,0,0,0,0,0,0,0,0,15,1245,46,49,4,9,6,23,4,0,16,1398,9,0,0,0,0,0
CED124,5,4,0,0,0,4,329,14,7,6,0,0,4,4,4,0,9,43,0,0,0,0,0,0,0,0,0,0,6,279,33,24,4,7,5,3,4,0,10,375,7,0,0,0,0,0,0,0,0,0,7,2473,105,57,13,10,12,9,5,0,122,2801,3224,62,34,5,8,4,6,3,0,139,3471,315,10,4,0,0,0,5,0,0,17,342,24,0,8,0,0,0,0,0,0,5,44,0,0,0,0,0,0,0,0,0,0,0,342,10,13,0,0,0,3,0,0,16,389,10,0,0,0,0,0,0,0,0,10,15,3571,69,48,7,8,4,15,8,0,160,3882,2177,25,10,0,4,6,0,0,0,114,2338,205,0,0,0,0,0,0,0,0,11,224,13,0,0,4,0,0,4,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,5,0,0,20,244,9,0,0,0,0,0
CED125,17,24,41,20,3,83,4989,774,127,132,30,35,24,106,52,4,55,1363,7,0,0,0,0,0,0,0,0,3,11,5062,456,301,51,50,53,157,77,9,143,6355,7,0,0,0,0,0,0,0,0,43,43,8073,562,352,59,64,53,160,82,9,247,9664,2768,32,19,0,0,4,6,3,0,50,2882,2776,59,60,13,12,7,23,18,4,50,3024,804,100,126,25,21,21,69,41,0,42,1254,6,0,0,0,0,0,0,6,0,0,12,3592,162,189,38,37,32,93,66,4,87,4297,7,0,0,0,0,0,0,0,0,31,35,6361,195,207,37,39,36,100,71,4,169,7212,1369,20,10,0,0,0,0,0,0,38,1441,1035,24,13,7,3,0,9,11,0,20,1111,520,51,40,12,6,9,30,3,0,12,681,0,0,0,0,0,0,0,0,0,0,5,1554,72,47,17,6,7,34,18,0,36,1800,6,0,0,0,0,0
CED126,10,0,12,3,0,15,1925,222,43,44,12,13,9,17,14,0,16,376,4,0,0,0,0,0,0,0,0,4,7,1949,158,77,16,20,6,27,19,0,36,2311,0,0,0,0,0,0,0,0,0,10,14,6310,459,179,38,35,27,39,32,11,100,7226,3560,70,60,12,3,5,18,9,6,46,3800,1334,20,15,3,3,5,6,5,0,12,1398,251,18,42,11,7,13,22,10,0,4,381,6,0,0,0,0,0,0,0,0,0,6,1592,31,53,9,12,16,30,15,0,20,1785,4,0,0,0,0,0,0,0,0,28,38,5164,101,111,24,12,22,49,25,6,96,5620,2471,66,32,8,11,4,12,9,0,77,2688,842,11,9,0,0,0,4,3,0,31,902,215,26,13,5,0,5,9,3,0,7,287,3,0,0,0,0,0,0,0,0,4,8,1069,38,20,5,0,6,9,7,0,40,1198,8,0,0,0,0,0
CED127,0,0,0,3,0,9,821,68,18,10,9,5,4,0,0,0,3,120,4,0,0,0,0,0,0,0,0,0,4,806,70,27,8,7,4,3,7,0,13,942,6,0,0,0,0,0,0,0,0,0,8,4241,185,76,13,12,3,11,6,0,79,4636,3590,26,12,3,0,3,0,6,0,86,3726,747,7,0,0,0,4,0,3,0,20,775,91,5,14,0,0,5,0,4,0,9,133,5,0,0,0,0,0,0,0,0,0,5,844,14,15,0,0,4,0,6,0,25,916,6,0,0,0,0,0,0,0,0,11,15,4439,43,27,10,0,4,5,7,0,114,4654,1992,22,11,0,0,3,8,0,0,74,2113,448,3,0,0,0,0,0,0,0,16,474,64,8,6,0,0,0,5,0,0,6,83,0,0,0,0,0,0,0,0,0,0,3,510,8,3,0,0,0,7,0,0,20,562,5,0,0,0,0,0
CED128,38,9,40,16,0,112,6633,2262,425,529,400,220,139,272,63,11,128,4440,16,0,3,0,0,0,0,0,0,3,31,8098,753,726,469,255,156,312,76,11,246,11107,13,0,0,0,0,0,0,0,0,30,45,10175,823,756,475,261,152,314,81,15,322,13375,1825,23,14,0,0,0,0,0,0,37,1903,4195,111,61,19,24,11,25,15,0,84,4543,2177,291,375,212,158,83,142,42,3,73,3558,17,3,0,0,0,0,0,0,0,3,28,6396,405,440,229,180,92,166,60,3,160,8124,7,0,0,0,0,0,0,0,0,42,48,8230,435,451,229,181,92,171,60,3,233,10079,939,4,0,0,0,0,0,0,0,36,981,2064,34,34,3,6,5,10,0,0,34,2189,1610,130,170,91,76,38,62,19,0,55,2249,12,0,0,0,0,0,0,0,0,3,24,3694,166,199,96,82,40,69,18,0,94,4462,0,0,0,0,0,0
CED129,16,22,32,31,7,52,6194,813,201,251,56,58,58,198,70,9,31,1739,4,4,0,0,0,0,0,0,0,0,13,6299,597,385,84,70,85,233,98,18,75,7939,0,0,0,0,0,0,0,0,0,8,10,9258,788,451,90,72,87,242,104,19,111,11224,2524,32,34,4,0,11,11,3,0,23,2640,3507,103,80,17,16,22,44,59,4,42,3892,701,325,476,115,71,83,193,108,5,46,2115,8,0,0,0,0,3,0,0,0,0,16,4219,429,560,132,83,103,234,166,7,91,6021,3,0,0,0,0,0,0,0,0,26,25,6739,459,593,135,91,117,241,170,11,139,8692,1484,29,10,0,5,3,9,6,0,30,1583,1307,46,39,4,6,5,17,15,0,25,1468,506,124,118,17,16,11,48,13,0,28,882,0,0,0,0,0,0,0,0,0,5,11,1819,170,155,25,19,14,64,31,0,57,2356,3,0,0,0,0,0
CED130,12,3,3,4,0,7,306,20,16,18,3,9,10,21,14,0,5,115,0,0,0,0,0,0,0,0,0,0,0,223,68,40,4,17,13,28,19,0,10,424,0,0,0,0,0,0,0,0,0,3,8,1457,122,85,7,26,13,39,24,3,69,1849,1517,18,16,0,0,7,10,0,0,56,1624,165,7,10,0,0,0,0,0,0,4,194,26,6,12,0,0,4,19,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,185,17,19,0,0,3,22,3,0,10,263,4,0,0,0,0,0,0,0,0,6,8,1710,35,33,4,4,5,32,3,0,70,1894,944,4,3,3,0,0,0,5,0,58,1022,97,4,0,0,0,0,0,0,0,0,103,9,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,104,4,3,0,0,0,6,0,0,0,118,11,0,0,0,0,0
CED131,3,3,8,0,0,11,850,87,27,18,8,12,3,19,10,0,7,196,0,0,0,0,0,0,0,0,0,0,0,807,90,56,11,20,11,22,16,0,19,1046,0,0,0,0,0,0,0,0,0,7,7,2512,168,100,17,25,17,28,17,5,57,2944,1584,19,8,0,4,0,4,4,0,33,1663,664,14,9,3,3,0,13,0,0,11,712,149,16,19,4,10,6,15,3,3,12,235,4,0,0,0,0,0,0,0,0,0,5,816,28,25,5,9,6,25,7,3,22,947,0,0,0,0,0,0,0,0,0,9,9,2402,52,30,7,14,6,30,12,0,70,2621,930,5,0,3,0,0,0,0,0,30,970,437,11,0,3,0,0,0,0,0,18,475,204,7,6,0,0,4,4,0,0,8,228,4,0,0,0,0,0,0,0,0,0,3,645,14,9,3,0,4,3,3,0,24,710,0,0,0,0,0,0
CED132,15,30,36,14,6,26,3229,500,98,129,29,17,40,86,46,3,29,966,5,6,0,0,0,0,0,0,0,0,3,3341,261,211,36,29,67,121,67,18,55,4199,3,0,0,0,0,0,0,0,0,15,17,7169,463,315,56,41,85,144,75,19,115,8488,3254,51,31,3,6,0,8,3,4,31,3391,2208,53,42,14,3,6,25,11,5,29,2391,582,146,189,37,32,21,83,42,8,25,1159,3,0,0,0,0,0,0,0,0,0,8,2796,197,229,54,31,28,104,55,12,50,3556,3,0,0,0,0,0,0,0,0,39,48,6054,251,258,60,34,27,109,58,12,122,6990,1806,19,7,5,5,0,0,0,0,24,1872,1139,8,12,0,0,0,7,5,0,12,1187,503,67,56,8,8,5,21,8,0,14,690,3,0,0,0,0,0,0,0,0,3,4,1640,71,71,10,8,11,28,15,0,23,1882,5,0,0,0,0,0
CED133,0,5,9,0,0,6,485,30,4,18,3,3,3,17,9,0,3,95,6,0,0,0,0,0,0,0,0,0,6,397,64,38,15,9,9,23,7,3,15,584,3,0,0,0,0,0,0,0,0,16,23,2719,170,83,20,15,16,26,15,3,129,3199,2614,54,22,10,3,3,6,5,0,112,2827,327,16,4,0,7,0,7,0,0,6,369,32,9,14,4,8,0,11,8,0,3,81,0,0,0,0,0,0,0,0,0,0,0,358,23,18,4,15,0,11,5,0,14,448,3,0,0,0,0,0,0,0,0,13,13,2979,81,39,9,11,3,17,16,0,132,3289,1451,15,9,3,0,0,0,0,0,65,1552,170,8,0,0,0,0,0,0,0,4,186,20,6,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,6,0,186,11,3,0,0,0,0,0,0,6,212,9,0,0,0,0,0
CED134,3,4,10,6,4,8,305,21,4,3,0,0,0,12,9,0,0,68,0,0,0,0,0,0,0,0,0,0,0,237,54,27,0,5,4,18,14,4,4,371,0,0,0,0,0,0,0,0,0,0,0,994,92,49,10,11,16,20,12,6,55,1255,859,20,13,0,0,3,0,0,0,29,926,171,5,3,3,0,0,3,9,0,8,199,30,6,0,0,0,0,15,4,0,5,57,0,0,0,0,0,0,0,0,0,0,0,197,9,9,4,0,4,14,8,0,8,260,0,0,0,0,0,0,0,0,0,8,11,1058,28,17,4,3,4,14,13,4,40,1192,560,5,0,0,0,0,0,0,0,34,600,113,0,0,0,0,0,0,4,0,3,127,23,3,0,0,0,0,3,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,138,6,0,0,0,0,3,3,0,7,161,6,0,0,0,0,0
CED135,35,23,64,29,12,98,7103,2070,435,423,110,94,108,226,104,11,88,3670,10,0,3,0,0,0,0,0,0,0,19,8275,879,612,135,129,128,288,136,25,184,10787,17,0,0,0,0,0,0,0,0,18,33,10109,962,644,146,138,134,301,144,27,243,12846,1406,34,15,7,0,0,3,6,3,34,1504,3602,123,107,19,24,9,50,49,0,88,4074,1860,350,467,111,83,73,179,70,10,79,3277,5,4,0,0,0,0,0,0,0,0,13,5468,479,577,135,100,84,227,120,11,163,7370,6,0,0,0,0,0,0,0,0,14,20,6880,507,595,139,103,84,229,122,14,213,8888,804,16,3,0,0,0,0,0,0,27,851,1450,51,32,10,8,5,15,3,0,40,1621,1345,206,152,18,25,16,44,16,0,31,1854,7,5,0,0,0,0,0,0,0,3,20,2799,258,188,26,31,24,63,24,0,78,3486,3,0,0,0,0,0
