CED_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED111,727,3959,255,4939,782,5234,358,6373,1105,9384,595,11081,1319,8029,459,9809,1590,7939,444,9974,1413,7906,359,9683,1340,5773,326,7442,631,3584,293,4496,96,1366,219,1675,9001,53169,3305,65469,812,3744,270,4823,1065,4885,315,6266,1307,8890,520,10725,1753,8018,449,10223,1731,8311,368,10403,1503,8242,329,10070,1456,6324,339,8121,638,4286,408,5338,88,2202,512,2798,10354,54902,3509,68767,1533,7702,522,9767,1840,10119,671,12639,2416,18275,1114,21802,3076,16053,902,20029,3325,16242,809,20382,2912,16149,690,19750,2800,12094,666,15558,1267,7867,700,9837,181,3566,734,4479,19357,108068,6815,134240
CED112,491,4408,300,5195,347,4008,256,4608,626,7953,558,9136,990,7974,576,9544,1060,8231,546,9838,1027,7968,443,9435,1077,6828,459,8355,609,3918,421,4949,94,1328,324,1744,6317,52608,3880,62810,556,3994,287,4835,425,3835,246,4505,841,8456,582,9879,1387,8263,518,10166,1433,8698,489,10622,1266,8763,440,10472,1420,7478,498,9392,667,4704,637,6007,112,2230,714,3055,8098,56415,4419,68927,1043,8400,592,10033,771,7840,502,9114,1470,16407,1142,19020,2375,16243,1092,19708,2492,16932,1032,20457,2290,16728,886,19907,2489,14302,951,17745,1272,8625,1057,10959,207,3556,1041,4801,14418,109029,8292,131734
CED113,673,3508,355,4538,401,3252,272,3927,1012,7487,829,9333,1524,7173,718,9421,2151,7934,717,10800,2494,8466,796,11761,2437,6885,662,9990,1056,3452,388,4893,133,1077,185,1394,11882,49240,4932,66046,752,3113,317,4185,436,2885,239,3566,1253,7630,632,9518,2197,7182,592,9969,2520,8093,592,11208,2703,8404,672,11771,2711,6365,591,9670,1099,3441,423,4968,160,1618,282,2059,13840,48721,4344,66904,1428,6623,672,8718,838,6138,522,7493,2266,15118,1464,18847,3716,14354,1311,19388,4675,16024,1309,22010,5200,16868,1474,23536,5151,13249,1254,19654,2153,6895,811,9855,291,2696,468,3452,25715,97963,9275,132953
CED114,764,3960,538,5265,486,3667,419,4573,1049,8150,955,10162,1588,7042,829,9457,1892,7503,922,10321,2084,8504,880,11469,2079,7556,875,10511,1045,4126,529,5702,187,1391,281,1861,11174,51896,6232,69301,856,3721,467,5040,512,3491,370,4379,1251,8150,810,10217,2099,7111,793,10006,2263,7656,751,10668,2369,8635,833,11837,2467,7091,753,10314,1364,4352,700,6419,228,2213,398,2840,13404,52430,5872,71708,1614,7686,999,10298,993,7157,793,8948,2303,16302,1767,20376,3689,14151,1625,19463,4161,15158,1670,20990,4453,17139,1716,23306,4544,14651,1630,20824,2408,8480,1229,12114,415,3602,679,4701,24579,104329,12101,141007
CED115,321,4955,439,5723,378,5401,470,6248,642,10755,1056,12455,534,9126,897,10550,544,9372,796,10711,504,9799,728,11037,399,6855,510,7765,165,3160,375,3703,19,1079,275,1376,3497,60510,5550,69560,417,4720,378,5517,583,5201,431,6214,725,10596,1069,12390,754,9888,867,11506,676,10025,722,11419,675,9867,660,11205,484,7333,518,8327,147,3561,463,4171,19,1645,494,2157,4484,62830,5605,72918,740,9673,824,11236,957,10607,895,12460,1367,21350,2130,24843,1286,19017,1760,22062,1220,19398,1516,22132,1179,19672,1395,22246,890,14186,1025,16092,312,6719,838,7871,36,2718,771,3531,7981,123335,11156,142478
CED116,427,3494,395,4316,311,2956,354,3623,680,6275,836,7789,1090,6203,757,8046,1391,7022,771,9175,1953,9203,755,11911,2814,9515,780,13103,1310,5511,519,7335,189,1730,246,2161,10157,51896,5410,67461,514,3093,349,3958,334,2655,232,3222,832,6438,537,7799,1557,6294,561,8418,1691,7482,572,9742,2600,9816,651,13064,3310,9509,695,13508,1455,5582,597,7629,243,2560,440,3249,12541,53413,4643,70598,940,6582,751,8273,642,5611,589,6842,1511,12710,1372,15593,2646,12498,1320,16466,3083,14495,1341,18925,4554,19016,1405,24979,6125,19017,1475,26616,2759,11092,1116,14966,435,4287,692,5405,22697,105313,10053,138060
CED117,542,2530,114,3183,582,3487,272,4335,1533,11687,793,14015,1505,10515,619,12639,1730,8366,507,10597,1169,6346,463,7982,841,4289,308,5439,305,2290,249,2849,42,859,152,1048,8250,50373,3470,62096,550,2207,130,2891,896,3584,278,4760,2118,12189,801,15105,2221,10276,528,13028,2410,8310,398,11119,1496,6422,291,8206,1118,4796,266,6183,365,2768,236,3361,37,1332,244,1612,11206,51877,3174,66263,1097,4730,245,6069,1476,7074,550,9095,3650,23872,1593,29123,3723,20794,1149,25666,4137,16676,908,21719,2665,12768,753,16191,1958,9083,575,11617,669,5055,484,6214,82,2183,394,2659,19458,102254,6645,128354
CED118,646,5253,290,6184,631,5558,601,6789,1072,12080,1479,14637,1794,15993,1251,19041,1540,10416,717,12677,888,7666,408,8964,624,5324,257,6193,232,2506,175,2910,29,664,84,778,7447,65473,5267,78182,788,4657,261,5706,798,4892,327,6016,1373,12812,877,15064,2026,15724,872,18622,1489,10181,502,12170,916,8001,348,9269,727,5899,286,6909,231,2790,182,3205,36,1062,112,1214,8385,66023,3766,78175,1443,9907,545,11895,1423,10454,930,12810,2444,24897,2354,29697,3817,31720,2123,37663,3025,20603,1216,24846,1801,15671,759,18229,1352,11217,540,13110,461,5296,355,6111,62,1733,194,1995,15835,131496,9031,156361
CED119,547,4356,156,5064,497,3946,179,4627,754,7204,311,8261,1344,8468,353,10163,1590,8253,299,10147,1206,7281,254,8740,1028,5445,211,6682,500,2924,281,3706,71,910,235,1211,7522,48791,2287,58597,746,3763,127,4636,605,3377,100,4079,853,7423,287,8565,1789,8797,311,10899,1791,8816,251,10865,1267,7720,205,9197,1101,5772,239,7110,513,3343,327,4182,86,1308,574,1965,8757,50322,2420,61496,1299,8118,281,9699,1101,7328,274,8704,1604,14630,600,16829,3129,17263,669,21063,3388,17067,559,21011,2474,14998,458,17935,2126,11216,449,13793,1012,6266,608,7886,151,2219,812,3181,16278,99111,4711,120095
CED120,544,4777,328,5654,413,4218,304,4939,798,9078,741,10620,1222,8774,659,10645,1418,9016,638,11072,1377,8201,561,10139,1394,6451,464,8315,658,3289,348,4298,86,934,153,1177,7915,54739,4207,66853,678,4292,295,5261,485,3940,211,4633,1008,9415,542,10967,1661,8982,568,11211,1704,9160,490,11358,1600,8535,478,10609,1637,6628,458,8722,660,3515,405,4576,103,1491,338,1927,9523,55955,3782,69263,1223,9071,619,10914,902,8153,515,9573,1804,18489,1289,21582,2881,17755,1220,21855,3122,18172,1127,22428,2973,16736,1037,20748,3028,13081,923,17034,1313,6807,757,8874,189,2423,495,3108,17433,110687,7990,136113
CED121,497,4570,374,5443,388,4399,475,5263,760,9260,1174,11188,1287,8241,1038,10558,1197,8640,837,10672,1273,8755,669,10698,1436,7348,540,9323,783,3991,403,5180,134,1337,198,1666,7750,56541,5701,69996,524,4159,305,4984,442,3985,249,4676,1066,9467,533,11063,1814,8164,505,10487,1561,8816,467,10845,1586,8917,426,10935,1774,7529,501,9803,771,4546,481,5792,128,2251,338,2715,9671,57833,3798,71302,1017,8733,676,10422,832,8385,727,9941,1827,18723,1700,22251,3101,16403,1538,21046,2756,17461,1301,21516,2859,17672,1101,21629,3211,14874,1038,19128,1549,8534,880,10968,266,3585,533,4383,17421,114376,9498,141295
CED122,710,3568,247,4527,938,5784,575,7295,1406,15181,1510,18095,1348,11327,1022,13702,1510,8782,760,11056,1139,7270,583,8995,699,5260,426,6390,344,3248,343,3931,65,1227,212,1499,8159,61654,5683,75493,809,3224,195,4223,1235,5390,471,7091,1787,15679,1152,18621,1838,11313,762,13911,1966,9050,500,11517,1205,7645,398,9249,840,6046,392,7276,410,4059,381,4845,81,1785,422,2288,10179,64184,4676,79038,1518,6792,444,8753,2174,11176,1045,14389,3192,30859,2662,36721,3188,22639,1784,27612,3476,17834,1262,22576,2348,14916,989,18246,1540,11301,821,13670,747,7308,721,8778,150,3013,626,3791,18339,125833,10355,154528
CED123,505,4924,415,5844,428,5634,484,6549,879,11783,1196,13856,1207,11483,1065,13756,1038,9600,825,11460,750,7994,532,9276,715,5822,399,6938,301,2794,309,3399,38,670,160,872,5868,60705,5379,71953,663,4675,321,5663,592,5270,480,6336,1117,12734,1151,15004,1504,11594,957,14059,1160,9812,682,11657,916,8478,441,9834,837,6489,421,7746,320,3160,398,3877,46,1154,375,1577,7163,63372,5227,75758,1166,9596,743,11509,1022,10907,956,12890,1996,24514,2349,28860,2713,23083,2023,27817,2193,19415,1510,23115,1671,16470,972,19113,1556,12313,820,14685,616,5953,707,7278,87,1827,538,2446,13025,124079,10608,147710
CED124,461,3449,394,4301,289,2595,237,3122,564,4975,440,5974,1008,5455,485,6950,1330,7049,566,8943,1841,9117,686,11640,2674,9838,792,13312,1376,5811,575,7764,180,1768,286,2237,9711,50066,4463,64236,560,3141,333,4035,329,2355,191,2874,778,5374,469,6628,1497,5703,512,7713,1702,7483,508,9690,2331,9920,607,12861,3094,9497,744,13331,1432,5792,689,7914,223,2585,484,3295,11946,51848,4544,68340,1019,6589,728,8337,616,4952,423,5989,1340,10345,919,12603,2504,11164,996,14663,3029,14525,1076,18632,4173,19038,1287,24506,5766,19333,1536,26639,2808,11603,1269,15676,405,4354,773,5529,21659,101906,9005,132575
CED125,458,5561,420,6436,452,5736,394,6576,905,13269,890,15066,1233,13683,936,15860,951,10090,650,11684,823,8659,470,9952,694,6292,331,7314,262,2680,262,3202,29,553,84,657,5800,66511,4438,76750,510,5278,377,6162,603,5357,398,6368,1196,14885,990,17070,1480,13580,861,15925,1069,10078,586,11729,971,9413,482,10863,826,6869,441,8136,276,2907,341,3517,39,866,199,1104,6969,69232,4663,80872,967,10833,796,12600,1057,11093,787,12938,2108,28151,1881,32135,2715,27269,1792,31773,2021,20161,1231,23413,1795,18067,954,20815,1521,13163,765,15452,535,5583,605,6723,63,1420,281,1764,12773,135740,9100,157621
CED126,812,4175,179,5169,485,3729,153,4372,663,6239,332,7233,1307,7565,358,9236,2087,8733,372,11194,1697,7698,325,9715,1429,5814,286,7528,905,3968,269,5144,144,1446,208,1803,9538,49378,2487,61401,913,3590,155,4669,580,3164,145,3886,739,6302,327,7365,1750,8122,372,10239,2580,9055,373,12007,1722,8117,320,10156,1579,6455,300,8328,956,4675,376,6012,175,2439,445,3058,10997,51913,2810,65719,1731,7774,340,9840,1061,6895,301,8252,1400,12547,658,14602,3062,15689,731,19477,4670,17787,745,23204,3420,15812,644,19874,3012,12263,587,15853,1867,8648,644,11157,317,3883,657,4854,20529,101293,5302,127120
CED127,597,3941,209,4747,467,3397,192,4063,801,6723,403,7928,1198,6875,408,8472,1546,7752,397,9694,1553,7619,376,9549,1725,6086,308,8113,751,3060,215,4028,90,922,97,1112,8725,46372,2601,57701,637,3477,195,4313,531,2941,134,3608,1012,6670,348,8032,1728,6949,357,9029,1939,8137,372,10441,1937,8037,332,10309,2029,6425,305,8759,879,3614,297,4791,138,1485,249,1872,10841,47726,2591,61152,1237,7419,403,9058,999,6345,323,7669,1811,13391,751,15957,2926,13816,760,17502,3483,15888,766,20142,3493,15655,707,19851,3751,12509,612,16878,1630,6670,519,8817,235,2403,344,2981,19564,94096,5194,118852
CED128,391,5189,410,5987,353,5218,473,6039,679,10837,1047,12567,758,10064,956,11774,666,9261,705,10631,589,8879,581,10050,487,6363,447,7297,191,3306,286,3787,16,990,151,1157,4127,60107,5049,69289,458,4668,346,5472,526,4686,353,5565,797,10497,946,12238,932,10210,827,11970,862,9515,656,11026,731,9307,572,10610,557,6745,434,7734,247,3581,380,4202,37,1518,305,1859,5141,60728,4812,70676,844,9859,756,11462,879,9904,828,11602,1476,21337,1999,24808,1691,20279,1781,23745,1525,18774,1354,21659,1316,18187,1149,20657,1043,13107,878,15028,435,6887,666,7987,51,2506,454,3016,9268,120835,9863,139961
CED129,869,5383,146,6397,749,4649,167,5558,961,8078,342,9373,1687,13030,454,15170,1908,10691,308,12905,1233,8001,226,9462,1016,6055,221,7293,625,3291,176,4102,67,954,168,1187,9116,60127,2210,71454,998,4887,130,6010,970,4100,147,5214,1075,8897,378,10358,2208,13795,464,16461,2184,10961,312,13461,1248,8545,257,10045,1140,6957,202,8297,549,3771,206,4522,81,1415,214,1707,10448,63324,2302,76072,1866,10269,274,12409,1716,8745,309,10772,2036,16975,718,19730,3892,26829,911,31629,4100,21655,613,26366,2480,16543,484,19508,2158,13007,424,15586,1178,7066,383,8628,145,2364,381,2888,19561,123456,4507,147523
CED130,675,3839,593,5111,430,3346,515,4285,998,6983,880,8865,1349,6281,770,8401,1725,6593,843,9159,1877,7508,812,10196,2094,6687,740,9525,1081,3781,549,5412,183,1139,258,1572,10407,46153,5963,62522,789,3673,630,5093,484,3340,458,4288,1237,7411,820,9473,1931,6271,741,8942,1994,6969,767,9735,2194,7867,739,10798,2473,6336,694,9509,1294,4202,647,6138,224,1962,406,2596,12626,48036,5910,66569,1463,7514,1227,10205,916,6690,979,8576,2238,14395,1703,18332,3281,12558,1511,17346,3716,13560,1610,18887,4071,15371,1549,20989,4566,13024,1436,19028,2376,7981,1191,11547,403,3101,662,4170,23031,94190,11869,129088
