region_id,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED111,645,3356,578,4579,391,2319,298,3008,736,4336,543,5615,1338,5437,608,7383,1961,6828,649,9438,2253,7372,588,10213,1612,4972,619,7203,592,2877,566,4035,75,1005,245,1325,9603,38502,4694,52799,735,3101,475,4311,450,2344,214,3008,1076,4619,324,6019,2188,5702,432,8322,2528,7462,493,10483,2666,6886,504,10056,2139,4525,637,7301,809,3029,721,4559,151,1675,432,2258,12742,39343,4232,56317,1380,6457,1053,8890,841,4663,512,6016,1812,8955,867,11634,3526,11139,1040,15705,4489,14290,1142,19921,4919,14258,1092,20269,3751,9497,1256,14504,1401,5906,1287,8594,226,2680,677,3583,22345,77845,8926,109116
CED112,949,3574,495,5018,961,4690,430,6081,1250,7520,606,9376,1680,7396,532,9608,2036,7255,575,9866,1510,6054,487,8051,1181,3798,437,5416,439,2497,489,3425,80,946,189,1215,10086,43730,4240,58056,1093,3221,422,4736,1187,4060,321,5568,1579,7025,411,9015,2485,7109,412,10006,2363,7202,475,10040,1826,6159,404,8389,1409,3974,465,5848,618,3177,689,4484,129,1797,305,2231,12689,43724,3904,60317,2042,6795,917,9754,2148,8750,751,11649,2829,14545,1017,18391,4165,14505,944,19614,4399,14457,1050,19906,3336,12213,891,16440,2590,7772,902,11264,1057,5674,1178,7909,209,2743,494,3446,22775,87454,8144,118373
CED113,626,3817,576,5019,412,3228,274,3914,698,6006,466,7170,1230,6905,546,8681,1348,6946,593,8887,1155,6174,564,7893,914,4176,534,5624,422,2591,547,3560,79,955,283,1317,6884,40798,4383,52065,699,3595,510,4804,521,3026,241,3788,1051,6341,385,7777,2047,7040,496,9583,1814,7280,535,9629,1510,6425,450,8385,1246,4370,654,6270,614,3249,813,4676,108,1889,509,2506,9610,43215,4593,57418,1325,7412,1086,9823,933,6254,515,7702,1749,12347,851,14947,3277,13945,1042,18264,3162,14226,1128,18516,2665,12599,1014,16278,2160,8546,1188,11894,1036,5840,1360,8236,187,2844,792,3823,16494,84013,8976,109483
CED114,705,3176,599,4480,415,2519,299,3233,889,5004,547,6440,1741,6278,687,8706,2470,6893,771,10134,2479,6823,719,10021,1807,4518,639,6964,641,2387,552,3580,98,713,213,1024,11245,38311,5026,54582,728,2853,466,4047,403,2354,193,2950,1147,5249,458,6854,2458,6094,527,9079,2767,7021,569,10357,2829,6435,602,9866,2121,4004,600,6725,819,2475,655,3949,136,1359,358,1853,13408,37844,4428,55680,1433,6029,1065,8527,818,4873,492,6183,2036,10253,1005,13294,4199,12372,1214,17785,5237,13914,1340,20491,5308,13258,1321,19887,3928,8522,1239,13689,1460,4862,1207,7529,234,2072,571,2877,24653,76155,9454,110262
CED115,816,3304,606,4726,543,2700,343,3586,1121,5123,523,6767,1938,5454,574,7966,2489,6232,647,9368,2300,6476,689,9465,1567,4399,735,6701,676,2597,675,3948,93,758,255,1106,11543,37043,5047,53633,957,2911,511,4379,738,2686,251,3675,1471,5142,379,6992,2582,5307,485,8374,2938,6223,539,9700,2593,5920,540,9053,2034,3997,724,6755,968,2776,809,4553,166,1448,447,2061,14447,36410,4685,55542,1773,6215,1117,9105,1281,5386,594,7261,2592,10265,902,13759,4520,10761,1059,16340,5427,12455,1186,19068,4893,12396,1229,18518,3601,8396,1459,13456,1644,5373,1484,8501,259,2206,702,3167,25990,73453,9732,109175
CED116,447,4892,904,6243,382,4478,499,5359,607,8171,831,9609,598,8193,868,9659,739,9136,996,10871,536,6419,687,7642,246,3484,478,4208,110,1874,368,2352,6,453,129,588,3671,47100,5760,56531,636,4413,695,5744,552,4374,435,5361,804,8817,820,10441,901,9168,924,10993,965,9322,837,11124,622,6625,666,7913,342,3632,549,4523,143,2418,450,3011,24,824,187,1035,4989,49593,5563,60145,1083,9305,1599,11987,934,8852,934,10720,1411,16988,1651,20050,1499,17361,1792,20652,1704,18458,1833,21995,1158,13044,1353,15555,588,7116,1027,8731,253,4292,818,5363,30,1277,316,1623,8660,96693,11323,116676
CED117,616,3312,608,4536,395,2572,352,3319,659,4534,616,5809,1306,5688,572,7566,1787,6633,688,9108,2057,6604,565,9226,1829,5142,669,7640,741,3072,675,4488,106,913,254,1273,9496,38470,4999,52965,744,2974,482,4200,483,2313,203,2999,948,4632,330,5910,2027,5736,420,8183,2277,6892,536,9705,2464,6734,539,9737,2228,4887,663,7778,972,3289,814,5075,175,1506,390,2071,12318,38963,4377,55658,1360,6286,1090,8736,878,4885,555,6318,1607,9166,946,11719,3333,11424,992,15749,4064,13525,1224,18813,4521,13338,1104,18963,4057,10029,1332,15418,1713,6361,1489,9563,281,2419,644,3344,21814,77433,9376,108623
CED118,497,2167,404,3068,703,3808,576,5087,1814,11030,1290,14134,1811,10394,1039,13244,1618,7488,802,9908,1025,5360,599,6984,409,3249,509,4167,169,2255,437,2861,25,668,168,861,8071,46419,5824,60314,596,1960,338,2894,1130,3899,416,5445,2627,11367,1081,15075,2698,10207,894,13799,2165,7233,663,10061,1280,5520,544,7344,537,3509,476,4522,213,2644,469,3326,33,1403,334,1770,11279,47742,5215,64236,1093,4127,742,5962,1833,7707,992,10532,4441,22397,2371,29209,4509,20601,1933,27043,3783,14721,1465,19969,2305,10880,1143,14328,946,6758,985,8689,382,4899,906,6187,58,2071,502,2631,19350,94161,11039,124550
CED119,582,3763,608,4953,607,4024,451,5082,1356,10391,959,12706,1625,10123,827,12575,1416,7747,668,9831,916,5995,464,7375,461,3230,395,4086,160,1573,285,2018,15,348,93,456,7138,47194,4750,59082,775,3476,450,4701,783,3690,273,4746,1701,11003,654,13358,2217,9570,535,12322,1562,7696,501,9759,1014,6199,434,7647,559,3109,383,4051,205,1971,397,2573,34,808,223,1065,8850,47522,3850,60222,1357,7239,1058,9654,1390,7714,724,9828,3057,21394,1613,26064,3842,19693,1362,24897,2978,15443,1169,19590,1930,12194,898,15022,1020,6339,778,8137,365,3544,682,4591,49,1156,316,1521,15988,94716,8600,119304
CED120,705,4121,486,5312,633,4122,312,5067,863,7429,609,8901,1400,7977,512,9889,1714,7766,546,10026,1167,6685,491,8343,660,3668,311,4639,254,1681,254,2189,40,530,84,654,7436,43979,3605,55020,1022,3453,459,4934,700,3628,244,4572,1178,7503,510,9191,2134,8038,489,10661,2033,8046,504,10583,1231,6763,425,8419,814,3472,330,4616,299,2112,373,2784,59,989,129,1177,9470,44004,3463,56937,1727,7574,945,10246,1333,7750,556,9639,2041,14932,1119,18092,3534,16015,1001,20550,3747,15812,1050,20609,2398,13448,916,16762,1474,7140,641,9255,553,3793,627,4973,99,1519,213,1831,16906,87983,7068,111957
CED121,739,3484,615,4838,463,2748,335,3546,874,4901,585,6360,1756,6537,744,9037,2333,7076,725,10134,2273,6699,656,9628,1659,4489,623,6771,581,2211,522,3314,80,621,156,857,10758,38766,4961,54485,795,3154,548,4497,524,2592,190,3306,1164,5181,371,6716,2647,6536,504,9687,2624,6902,493,10019,2635,6368,520,9523,1929,3969,595,6493,783,2389,678,3850,141,1274,292,1707,13242,38365,4191,55798,1534,6638,1163,9335,987,5340,525,6852,2038,10082,956,13076,4403,13073,1248,18724,4957,13978,1218,20153,4908,13067,1176,19151,3588,8458,1218,13264,1364,4600,1200,7164,221,1895,448,2564,24000,77131,9152,110283
CED122,485,3761,631,4877,392,3623,402,4417,831,7322,828,8981,1364,7270,856,9490,1500,7206,736,9442,1359,6355,647,8361,929,3595,520,5044,321,1812,401,2534,35,561,128,724,7216,41505,5149,53870,609,3549,542,4700,456,3482,224,4162,1209,7010,421,8640,2140,6880,519,9539,1870,6924,490,9284,1792,5830,517,8139,1200,3331,486,5017,493,2357,587,3437,61,1284,196,1541,9830,40647,3982,54459,1094,7310,1173,9577,848,7105,626,8579,2040,14332,1249,17621,3504,14150,1375,19029,3370,14130,1226,18726,3151,12185,1164,16500,2129,6926,1006,10061,814,4169,988,5971,96,1845,324,2265,17046,82152,9131,108329
CED123,719,3133,612,4464,1175,5703,910,7788,1609,11078,1675,14362,1524,9099,1287,11910,1473,7262,984,9719,893,5798,819,7510,543,3890,630,5063,271,2439,494,3204,55,805,178,1038,8262,49207,7589,65058,860,2916,473,4249,1449,5392,639,7480,2178,11210,1142,14530,2150,9217,896,12263,1785,7240,725,9750,1102,6134,677,7913,740,4256,654,5650,388,3107,637,4132,75,1595,296,1966,10727,51067,6139,67933,1579,6049,1085,8713,2624,11095,1549,15268,3787,22288,2817,28892,3674,18316,2183,24173,3258,14502,1709,19469,1995,11932,1496,15423,1283,8146,1284,10713,659,5546,1131,7336,130,2400,474,3004,18989,100274,13728,132991
CED124,563,4098,613,5274,444,4376,606,5426,930,9032,797,10759,1169,8590,700,10459,1190,7602,665,9457,919,6818,584,8321,543,3528,486,4557,177,1434,345,1956,21,378,125,524,5956,45856,4921,56733,728,3960,544,5232,623,4407,367,5397,1298,9457,704,11459,1708,8501,641,10850,1392,7981,623,9996,1141,6913,544,8598,661,3451,469,4581,238,1842,458,2538,44,889,259,1192,7833,47401,4609,59843,1291,8058,1157,10506,1067,8783,973,10823,2228,18489,1501,22218,2877,17091,1341,21309,2582,15583,1288,19453,2060,13731,1128,16919,1204,6979,955,9138,415,3276,803,4494,65,1267,384,1716,13789,93257,9530,116576
CED125,653,2955,480,4088,333,1998,227,2558,581,3799,307,4687,1209,5206,400,6815,1726,6295,530,8551,2097,6607,590,9294,1816,5391,660,7867,716,3293,706,4715,105,1045,285,1435,9236,36589,4185,50010,747,2637,431,3815,367,1978,134,2479,817,4142,206,5165,2018,5343,349,7710,2227,6803,442,9472,2476,6674,508,9658,2371,5220,658,8249,1025,3524,873,5422,149,1830,479,2458,12197,38151,4080,54428,1400,5592,911,7903,700,3976,361,5037,1398,7941,513,9852,3227,10549,749,14525,3953,13098,972,18023,4573,13281,1098,18952,4187,10611,1318,16116,1741,6817,1579,10137,254,2875,764,3893,21433,74740,8265,104438
CED126,556,4319,676,5551,460,3982,347,4789,779,7902,578,9259,1284,7977,583,9844,1182,7224,573,8979,964,6311,519,7794,567,3149,389,4105,198,1322,242,1762,27,380,85,492,6017,42566,3992,52575,762,3871,572,5205,665,3826,331,4822,1174,8154,514,9842,1965,8047,535,10547,1568,7553,594,9715,1217,6364,535,8116,721,3054,373,4148,267,1658,311,2236,54,841,130,1025,8393,43368,3895,55656,1318,8190,1248,10756,1125,7808,678,9611,1953,16056,1092,19101,3249,16024,1118,20391,2750,14777,1167,18694,2181,12675,1054,15910,1288,6203,762,8253,465,2980,553,3998,81,1221,215,1517,14410,85934,7887,108231
CED127,775,3054,477,4306,490,2943,241,3674,848,5921,427,7196,1672,7927,513,10112,2189,7176,526,9891,1619,6179,446,8244,1297,4307,376,5980,531,2329,333,3193,114,1113,205,1432,9535,40949,3544,54028,913,2620,347,3880,671,2523,181,3375,1092,5955,365,7412,2677,7933,494,11104,2846,7123,400,10369,1798,6435,423,8656,1542,4327,411,6280,719,2990,516,4225,185,2004,461,2650,12443,41910,3598,57951,1688,5674,824,8186,1161,5466,422,7049,1940,11876,792,14608,4349,15860,1007,21216,5035,14299,926,20260,3417,12614,869,16900,2839,8634,787,12260,1250,5319,849,7418,299,3117,666,4082,21978,82859,7142,111979
CED128,810,3714,502,5026,570,3396,273,4239,971,5730,423,7124,1756,6880,583,9219,2105,7257,646,10008,1945,6574,587,9106,1268,3583,477,5328,454,1707,318,2479,61,556,151,768,9940,39397,3960,53297,999,3209,477,4685,654,3073,215,3942,1247,5629,328,7204,2653,6911,521,10085,2726,7519,572,10817,2376,6586,510,9472,1629,3644,474,5747,569,2122,467,3158,119,1231,301,1651,12972,39924,3865,56761,1809,6923,979,9711,1224,6469,488,8181,2218,11359,751,14328,4409,13791,1104,19304,4831,14776,1218,20825,4321,13160,1097,18578,2897,7227,951,11075,1023,3829,785,5637,180,1787,452,2419,22912,79321,7825,110058
CED129,420,4560,691,5671,384,4620,382,5386,669,8457,592,9718,763,8085,604,9452,823,8411,617,9851,728,7109,537,8374,399,3950,451,4800,111,1893,344,2348,11,440,86,537,4308,47525,4304,56137,602,4150,550,5302,606,4314,321,5241,875,8575,544,9994,1237,8105,587,9929,1079,8915,587,10581,840,7251,515,8606,411,3927,501,4839,145,2261,400,2806,31,703,192,926,5826,48201,4197,58224,1022,8710,1241,10973,990,8934,703,10627,1544,17032,1136,19712,2000,16190,1191,19381,1902,17326,1204,20432,1568,14360,1052,16980,810,7877,952,9639,256,4154,744,5154,42,1143,278,1463,10134,95726,8501,114361
CED130,838,3741,441,5020,669,3367,198,4234,956,5984,344,7284,1821,8255,409,10485,1857,7438,361,9656,1372,6107,289,7768,978,3675,241,4894,340,1469,227,2036,65,503,117,685,8896,40539,2627,52062,1017,3267,331,4615,929,3051,166,4146,1298,6402,282,7982,2783,8426,373,11582,2209,7407,341,9957,1600,6403,329,8332,1072,3521,276,4869,412,1841,304,2557,124,1154,324,1602,11444,41472,2726,55642,1855,7008,772,9635,1598,6418,364,8380,2254,12386,626,15266,4604,16681,782,22067,4066,14845,702,19613,2972,12510,618,16100,2050,7196,517,9763,752,3310,531,4593,189,1657,441,2287,20340,82011,5353,107704
