region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED394,10,18,26,19,17,16,0,0,0,106,9,16,43,41,40,18,4,0,0,171,133,506,1013,619,660,570,88,3,3,3595
CED397,0,0,0,0,0,0,0,0,3,3,0,3,3,7,6,0,0,0,0,19,12,34,45,43,50,37,16,0,3,240
CED401,89,279,588,552,490,354,74,9,3,2438,72,169,355,267,197,184,58,17,7,1326,2910,8244,19056,15517,14748,10226,2037,182,26,72946
CED402,216,322,418,526,539,376,97,13,0,2507,107,123,236,245,280,198,122,49,3,1363,4393,5141,11393,14816,16667,12028,2796,447,40,67721
CED403,101,225,376,555,569,442,98,10,0,2376,87,95,205,195,223,174,53,27,0,1059,3729,6124,11815,14133,15436,11138,2128,233,21,64757
CED404,174,271,399,476,424,366,72,10,3,2195,91,136,189,233,236,214,103,33,9,1244,3803,5049,10907,13517,15359,10487,2250,330,36,61738
CED405,117,317,595,583,572,384,108,17,0,2693,72,131,257,237,199,192,53,37,11,1189,3419,7200,14939,14320,14846,9999,1916,240,28,66907
CED406,155,385,654,735,653,469,86,6,0,3143,91,130,249,264,247,184,54,17,0,1236,4676,6803,14636,15890,16038,10867,1451,116,6,70483
CED407,185,318,564,652,605,495,90,10,0,2919,81,94,230,205,241,146,37,15,3,1052,4177,6232,12918,14630,15009,10036,1436,82,9,64529
CED408,176,292,379,610,661,477,95,8,0,2698,87,70,166,262,230,192,59,24,10,1100,4285,5198,9553,15093,17628,12722,2621,282,29,67411
CED409,139,344,631,747,587,364,69,14,0,2895,122,189,404,351,314,173,66,24,4,1647,3926,7211,17112,16815,16162,8876,1152,108,7,71369
CED410,89,259,474,605,591,374,132,19,0,2543,81,128,257,216,262,164,63,32,11,1214,3344,6377,13248,14828,14907,10216,2394,258,29,65601
CED411,166,349,512,512,480,306,69,11,0,2405,106,164,287,312,291,177,55,16,13,1421,4193,6928,13554,14624,15321,8711,1423,202,24,64980
CED494,5,7,6,10,3,3,0,0,0,34,0,6,8,12,11,4,0,3,0,44,38,117,287,203,151,100,9,3,3,911
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6
CED501,268,351,534,615,464,261,67,0,0,2560,146,182,338,391,309,171,59,12,0,1608,5435,7505,14985,16901,15592,8092,1317,88,6,69921
CED502,305,339,544,535,577,399,67,3,3,2772,146,180,290,359,292,232,71,14,0,1584,4930,6492,12576,14127,15076,10394,1935,154,21,65705
CED503,277,412,710,754,696,427,74,10,0,3360,133,197,336,330,343,211,44,11,4,1609,5196,7310,14966,16912,16390,10075,1529,99,7,72484
CED504,92,247,411,319,363,259,81,11,0,1783,51,148,294,264,264,187,84,32,3,1327,3454,7669,15760,14564,15143,10532,2917,423,25,70487
CED505,307,443,880,739,560,327,69,7,0,3332,153,208,439,402,431,301,85,24,9,2052,4053,7585,20024,20563,19139,11487,2280,317,34,85482
CED506,247,313,456,575,492,328,58,13,3,2485,118,110,252,298,284,215,83,26,9,1395,4677,5196,11919,15421,15869,10148,1833,259,39,65361
CED507,206,357,620,625,558,320,83,6,0,2775,115,164,355,409,325,205,60,16,5,1654,4093,6995,16846,17765,15900,9999,1908,144,22,73672
CED508,305,461,731,720,705,475,116,9,0,3522,121,173,366,368,323,261,76,20,7,1715,5051,7418,15248,15734,15556,11313,2061,173,7,72561
CED509,288,416,526,666,657,413,83,6,0,3055,135,151,256,292,301,204,57,7,6,1409,6123,8143,12951,17482,19018,11631,1846,109,12,77315
CED510,312,399,603,651,555,346,72,3,0,2941,126,155,243,322,292,275,123,41,15,1592,4220,5649,12871,15938,17161,11655,2966,442,63,70965
CED511,323,400,599,779,660,381,85,9,0,3236,154,167,301,371,361,213,79,19,7,1672,5205,6084,12868,18100,16825,10515,2299,226,31,72153
CED512,155,310,678,592,542,444,89,7,0,2817,90,207,454,337,307,202,52,16,9,1674,3235,8313,21182,16521,14810,10254,1945,160,28,76448
CED513,126,364,648,568,510,378,108,17,0,2719,66,190,436,341,261,184,63,11,3,1555,3142,7528,18906,15494,13392,9364,2043,209,22,70100
CED514,179,407,707,573,528,383,96,9,0,2882,115,276,558,372,276,198,71,15,6,1887,3729,10283,22904,16250,14028,10086,1977,171,25,79453
CED515,199,333,376,507,590,422,109,8,0,2544,111,162,231,268,302,217,83,21,9,1404,5134,8110,12250,15013,17648,12145,2301,223,21,72845
CED594,6,12,22,19,7,6,6,0,0,78,0,6,27,17,19,10,4,3,0,86,55,310,826,525,500,335,41,3,0,2595
CED597,0,0,3,0,0,0,0,0,0,3,0,0,8,4,4,0,0,0,0,16,3,26,124,83,66,27,3,0,0,332
CED601,112,209,305,372,348,268,44,9,0,1667,70,87,165,203,211,181,47,19,6,989,2959,4328,8331,9687,10490,6904,1208,123,19,44049
CED602,127,213,277,355,330,237,50,6,0,1595,54,53,102,126,131,113,43,7,6,635,2880,3454,7138,9159,10492,6654,1151,146,18,41092
CED603,76,183,344,343,365,259,79,0,0,1649,64,80,143,155,182,162,47,15,3,851,2479,5149,9555,9921,10766,7099,1234,152,15,46370
CED604,88,198,311,377,401,235,59,0,0,1669,60,59,132,141,153,113,57,21,6,742,2580,3514,7941,10365,11276,7406,1291,120,10,44503
CED605,97,188,248,330,359,239,41,3,0,1505,73,59,149,204,242,221,79,15,4,1046,2311,2848,6430,9325,10979,7290,1514,181,23,40901
CED694,0,0,0,6,0,0,0,0,0,6,0,0,0,4,3,3,0,0,0,10,17,35,80,62,71,28,3,3,3,302
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,16,17,12,6,0,0,78
CED701,196,307,692,692,538,316,61,3,5,2810,100,140,306,204,202,101,37,9,0,1099,2402,3965,9914,10678,10176,6187,1076,95,17,44510
CED702,148,239,413,452,362,232,55,6,0,1907,64,101,208,185,135,98,35,4,0,830,2968,6162,14180,12406,10717,6666,1164,67,3,54333
CED794,0,0,5,0,0,7,3,0,0,15,0,0,6,0,5,0,0,0,0,11,5,90,188,89,101,94,11,0,0,578
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,14,14,7,3,0,3,83
CED801,216,363,637,655,623,473,102,12,0,3081,135,154,295,265,288,169,65,11,8,1390,5754,9158,19323,20408,22041,13360,2542,243,25,92854
CED802,207,466,820,692,518,335,88,3,0,3129,124,193,381,279,223,160,55,18,3,1436,5742,12949,28257,23814,18664,11281,2014,155,17,102893
CED894,0,3,0,0,7,0,0,0,0,10,3,3,6,0,0,3,0,0,0,15,16,42,95,56,38,23,0,0,0,270
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,6,0,0,0,0,20
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
