region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED113,958,581,1539,274,385,659,6,0,6,6,0,6,18,27,45,20407,17471,37878,1710,1541,3251,842,18,860,244,23,267,129,20,149,151,72,223,451,504,955,25196,20642,45838,193,121,314,0,0,0,3,0,3,448,294,742,84,78,162,43,4,47,771,497,1268,0,0,0,0,0,0,10,8,18,25,61,86,3,4,7,38,73,111,265,97,362,1074,667,1741,137,91,228,15,7,22,7,3,10,159,101,260,904,1447,2351,2648,4287,6935,496,458,954,30477,27602,58079
CED114,18,18,36,242,251,493,11,3,14,3,3,6,52,42,94,21485,18572,40057,1765,2104,3869,946,37,983,393,39,432,307,52,359,311,156,467,1392,1360,2752,26925,22637,49562,5,3,8,0,0,0,0,0,0,33,9,42,7,8,15,3,0,3,48,20,68,3,0,3,0,0,0,19,25,44,27,41,68,3,7,10,52,73,125,254,142,396,354,235,589,13,4,17,5,3,8,26,11,37,44,18,62,1602,1890,3492,2682,4040,6722,493,449,942,32100,29269,61369
CED115,7,11,18,164,131,295,10,3,13,5,12,17,47,54,101,20788,17670,38458,1638,1590,3228,691,14,705,351,44,395,433,132,565,375,140,515,1700,1522,3222,26209,21323,47532,3,0,3,0,0,0,0,3,3,3,0,3,0,0,0,3,0,3,9,3,12,0,0,0,0,0,0,3,3,6,13,17,30,3,3,6,19,23,42,234,105,339,262,131,393,3,3,6,7,4,11,29,6,35,39,13,52,2412,2060,4472,2436,3744,6180,609,494,1103,31967,27765,59732
CED116,1537,1686,3223,380,699,1079,7,3,10,0,7,7,53,21,74,21304,13290,34594,1676,2536,4212,908,11,919,106,8,114,117,14,131,164,76,240,341,582,923,26593,18933,45526,478,518,996,5,0,5,0,6,6,534,385,919,107,261,368,20,9,29,1144,1179,2323,0,0,0,0,0,0,20,44,64,26,73,99,3,12,15,49,129,178,177,85,262,1370,1393,2763,160,171,331,0,7,7,3,0,3,163,178,341,350,610,960,1340,1970,3310,871,619,1490,30687,23703,54390
CED117,148,92,240,110,100,210,11,3,14,3,0,3,25,32,57,18880,15776,34656,1384,1569,2953,782,19,801,266,34,300,253,41,294,192,72,264,873,790,1663,22927,18528,41455,15,21,36,0,4,4,0,0,0,74,31,105,18,14,32,9,4,13,116,74,190,3,0,3,0,0,0,12,5,17,6,9,15,5,3,8,26,17,43,183,107,290,325,198,523,12,15,27,7,5,12,9,0,9,28,20,48,1084,1512,2596,2568,3924,6492,445,391,836,27377,24573,51950
CED118,7313,7263,14576,2798,4189,6987,14,5,19,142,118,260,195,136,331,16792,13332,30124,904,1693,2597,356,7,363,690,181,871,1486,583,2069,200,128,328,1657,2069,3726,32547,29704,62251,1213,1403,2616,25,5,30,41,26,67,272,304,576,107,164,271,142,93,235,1800,1995,3795,8,6,14,13,13,26,66,131,197,36,107,143,80,81,161,203,338,541,259,192,451,2262,2525,4787,218,200,418,28,26,54,16,11,27,262,237,499,1383,1676,3059,2500,4295,6795,540,393,933,39494,38830,78324
CED119,3507,3212,6719,1158,1304,2462,3,4,7,7,5,12,110,29,139,26535,19269,45804,1451,2138,3589,873,17,890,332,20,352,191,22,213,228,81,309,527,502,1029,34922,26603,61525,732,712,1444,6,3,9,17,5,22,802,538,1340,193,341,534,63,17,80,1813,1616,3429,0,0,0,0,0,0,97,87,184,39,106,145,11,14,25,147,207,354,222,102,324,2182,1925,4107,224,222,446,9,14,23,13,0,13,246,236,482,778,1155,1933,2239,3841,6080,558,451,1009,40925,34211,75136
CED120,3138,3154,6292,189,290,479,3,3,6,4,5,9,50,23,73,25027,19075,44102,1277,1608,2885,826,12,838,252,21,273,230,19,249,236,75,311,822,723,1545,32054,25008,57062,427,371,798,6,0,6,12,11,23,1034,899,1933,202,345,547,68,26,94,1749,1652,3401,0,0,0,0,3,3,0,15,15,8,41,49,8,3,11,16,62,78,191,83,274,1956,1797,3753,174,145,319,4,3,7,11,4,15,189,152,341,792,1342,2134,2481,4422,6903,522,458,980,37994,33179,71173
CED121,180,164,344,140,133,273,7,3,10,5,4,9,40,49,89,22154,18440,40594,1767,1811,3578,1543,58,1601,288,27,315,153,20,173,274,107,381,1299,1079,2378,27850,21895,49745,11,15,26,0,0,0,0,0,0,138,101,239,28,24,52,6,9,15,183,149,332,0,0,0,0,0,0,22,14,36,24,23,47,3,3,6,49,40,89,290,124,414,522,313,835,22,15,37,5,0,5,23,3,26,50,18,68,2353,2448,4801,2558,3988,6546,583,516,1099,33916,29178,63094
CED122,97,94,191,124,127,251,13,6,19,0,0,0,28,53,81,23941,18089,42030,2297,1611,3908,851,28,879,323,53,376,146,22,168,218,93,311,1016,945,1961,29054,21121,50175,15,13,28,3,0,3,3,0,3,41,37,78,9,11,20,13,0,13,84,61,145,0,0,0,0,3,3,13,8,21,13,13,26,0,0,0,26,24,50,389,102,491,499,187,686,23,13,36,3,3,6,15,4,19,41,20,61,1051,1490,2541,3438,4169,7607,662,450,1112,34745,27437,62182
CED123,493,432,925,6356,8083,14439,7,4,11,3,3,6,171,104,275,19990,14920,34910,1208,2178,3386,496,9,505,706,133,839,1051,249,1300,251,147,398,2149,2468,4617,32881,28730,61611,1102,1062,2164,0,3,3,7,5,12,69,66,135,19,50,69,13,5,18,1210,1191,2401,13,9,22,19,19,38,206,258,464,81,213,294,110,77,187,429,576,1005,187,113,300,1826,1880,3706,134,116,250,42,36,78,18,6,24,194,158,352,1096,1452,2548,2449,4124,6573,507,484,991,38953,36828,75781
CED124,2059,2042,4101,204,367,571,5,0,5,4,8,12,43,44,87,25538,20135,45673,1850,2002,3852,1424,21,1445,323,30,353,221,26,247,174,90,264,620,633,1253,32465,25398,57863,445,434,879,0,0,0,6,3,9,658,622,1280,159,235,394,68,19,87,1336,1313,2649,0,0,0,0,0,0,6,16,22,18,44,62,4,5,9,28,65,93,229,88,317,1593,1466,3059,205,186,391,3,7,10,10,5,15,218,198,416,740,1308,2048,2547,4287,6834,654,519,1173,38217,33176,71393
CED125,18,9,27,93,114,207,3,5,8,3,0,3,34,43,77,16320,14876,31196,1280,1611,2891,741,16,757,339,40,379,174,41,215,168,83,251,934,868,1802,20107,17706,37813,3,3,6,0,0,0,0,0,0,0,0,0,3,3,6,3,0,3,9,6,15,0,0,0,0,0,0,6,4,10,9,16,25,3,0,3,18,20,38,199,94,293,226,120,346,3,0,3,0,6,6,17,3,20,20,9,29,1382,1491,2873,2139,3319,5458,436,372,808,24310,23017,47327
CED126,1573,1507,3080,196,327,523,4,0,4,0,8,8,49,24,73,24550,19245,43795,1692,1786,3478,1385,23,1408,249,18,267,100,13,113,165,92,257,452,500,952,30415,23543,53958,434,345,779,0,0,0,6,4,10,800,691,1491,159,200,359,44,9,53,1443,1249,2692,0,0,0,0,0,0,5,11,16,25,51,76,3,3,6,33,65,98,206,100,306,1682,1414,3096,174,166,340,5,7,12,13,4,17,192,177,369,774,1308,2082,2370,4005,6375,573,475,1048,36006,30922,66928
CED127,68,46,114,3130,3069,6199,36,12,48,8,6,14,92,62,154,23026,19053,42079,1169,1712,2881,756,7,763,546,60,606,368,51,419,257,117,374,1031,981,2012,30487,25176,55663,261,181,442,3,4,7,0,0,0,145,82,227,10,31,41,8,3,11,427,301,728,15,18,33,0,0,0,273,236,509,79,127,206,35,24,59,402,405,807,340,176,516,1169,882,2051,91,69,160,31,36,67,40,17,57,162,122,284,2103,2763,4866,2455,4089,6544,494,477,971,36870,33509,70379
CED128,1861,1440,3301,95,126,221,3,5,8,11,4,15,40,48,88,22566,19137,41703,1329,1474,2803,1279,19,1298,290,26,316,249,51,300,182,94,276,982,760,1742,28887,23184,52071,177,165,342,3,0,3,8,5,13,512,444,956,119,145,264,103,26,129,922,785,1707,0,0,0,0,0,0,22,19,41,8,17,25,3,3,6,33,39,72,261,115,376,1216,939,2155,148,95,243,0,4,4,22,3,25,170,102,272,1617,2204,3821,2844,4700,7544,465,426,891,35199,31555,66754
CED129,1419,1593,3012,384,630,1014,9,0,9,6,4,10,51,24,75,23923,16446,40369,1611,2207,3818,1188,11,1199,170,17,187,117,14,131,155,60,215,325,431,756,29358,21437,50795,517,593,1110,6,0,6,3,6,9,606,530,1136,127,260,387,20,12,32,1279,1401,2680,0,0,0,0,0,0,24,40,64,24,74,98,6,8,14,54,122,176,171,86,257,1504,1609,3113,176,180,356,6,5,11,7,3,10,189,188,377,517,875,1392,1863,2896,4759,729,593,1322,34160,27598,61758
CED130,386,299,685,3062,2758,5820,3,3,6,5,3,8,65,33,98,25302,20136,45438,1114,1825,2939,629,10,639,278,28,306,178,17,195,201,76,277,410,437,847,31633,25625,57258,330,278,608,0,3,3,0,0,0,451,272,723,57,97,154,8,3,11,846,653,1499,3,0,3,0,4,4,324,252,576,94,181,275,22,11,33,443,448,891,188,91,279,1477,1192,2669,160,127,287,18,14,32,11,5,16,189,146,335,1369,1968,3337,2164,4040,6204,408,398,806,37240,33369,70609
CED131,13,10,23,160,131,291,8,4,12,4,0,4,84,63,147,20404,18408,38812,1983,2001,3984,1322,44,1366,409,46,455,264,52,316,328,143,471,1820,1368,3188,26799,22270,49069,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,7,10,0,3,3,3,0,3,6,3,9,6,16,22,5,0,5,20,22,42,235,108,343,258,137,395,4,0,4,0,3,3,29,4,33,33,7,40,2678,2551,5229,2392,3759,6151,548,480,1028,32708,29204,61912
CED132,349,249,598,573,767,1340,43,39,82,0,0,0,60,80,140,21986,18056,40042,1665,1798,3463,443,12,455,495,71,566,956,261,1217,197,71,268,1365,1349,2714,28132,22753,50885,39,33,72,10,0,10,0,0,0,43,34,77,30,24,54,34,19,53,156,110,266,11,21,32,0,0,0,22,74,96,41,46,87,13,21,34,87,162,249,253,145,398,496,417,913,32,34,66,16,23,39,19,10,29,67,67,134,729,1107,1836,3026,4713,7739,443,386,829,32893,29443,62336
CED133,5484,5015,10499,4902,5034,9936,400,244,644,22,10,32,229,134,363,17205,13414,30619,864,1786,2650,191,16,207,518,77,595,818,123,941,286,147,433,3415,3455,6870,34334,29455,63789,797,864,1661,65,38,103,4,6,10,199,158,357,69,104,173,72,53,125,1206,1223,2429,45,61,106,0,4,4,158,143,301,65,116,181,70,51,121,338,375,713,276,158,434,1820,1756,3576,171,148,319,30,25,55,25,19,44,226,192,418,2127,2493,4620,2109,3986,6095,331,345,676,40947,38227,79174
CED134,8,7,15,145,132,277,7,4,11,6,0,6,45,44,89,17412,15760,33172,1482,1626,3108,900,30,930,349,38,387,500,157,657,209,98,307,1228,1164,2392,22291,19060,41351,3,5,8,0,0,0,0,0,0,4,3,7,3,0,3,0,0,0,10,8,18,0,0,0,0,0,0,8,3,11,6,18,24,5,3,8,19,24,43,212,127,339,241,159,400,6,4,10,6,0,6,16,6,22,28,10,38,1560,1705,3265,2166,3552,5718,487,375,862,26773,24861,51634
CED135,16,10,26,299,128,427,16,5,21,0,0,0,49,66,115,21032,18543,39575,2339,1953,4292,1411,71,1482,366,73,439,281,56,337,443,192,635,2226,1994,4220,28478,23091,51569,3,5,8,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,10,5,15,3,0,3,0,0,0,11,9,20,7,5,12,3,0,3,24,14,38,287,109,396,321,128,449,3,3,6,4,7,11,50,5,55,57,15,72,3192,2719,5911,2488,3594,6082,688,535,1223,35224,30082,65306
CED136,5910,4744,10654,1144,1664,2808,22,15,37,10,7,17,123,38,161,23511,14405,37916,1407,2137,3544,626,12,638,299,24,323,235,43,278,230,96,326,1531,1699,3230,35048,24884,59932,1341,1396,2737,3,5,8,22,18,40,510,322,832,135,256,391,75,38,113,2086,2035,4121,4,4,8,0,0,0,86,81,167,39,93,132,12,18,30,141,196,337,181,85,266,2408,2316,4724,291,302,593,12,16,28,17,8,25,320,326,646,714,959,1673,2167,3163,5330,657,442,1099,41314,32090,73404
CED137,102,116,218,153,146,299,9,5,14,0,6,6,21,18,39,19015,15220,34235,1368,1419,2787,735,30,765,264,29,293,210,58,268,172,68,240,781,804,1585,22830,17919,40749,14,12,26,0,0,0,0,0,0,39,35,74,9,16,25,11,0,11,73,63,136,3,0,3,0,0,0,8,11,19,8,28,36,4,0,4,23,39,62,230,140,370,326,242,568,14,10,24,5,5,10,13,3,16,32,18,50,1099,1460,2559,2425,3820,6245,428,357,785,27140,23816,50956
CED138,6822,6164,12986,1582,2044,3626,383,347,730,8,26,34,134,62,196,23037,14926,37963,1247,2062,3309,528,14,542,348,40,388,471,83,554,277,100,377,1176,1294,2470,36013,27162,63175,1137,1177,2314,40,22,62,22,13,35,410,251,661,121,236,357,63,36,99,1793,1735,3528,53,58,111,0,5,5,74,99,173,33,70,103,29,17,46,189,249,438,226,140,366,2208,2124,4332,227,206,433,24,13,37,11,7,18,262,226,488,1090,1366,2456,2172,3484,5656,667,505,1172,42412,34867,77279
CED139,35,18,53,222,220,442,13,4,17,5,4,9,23,27,50,18040,16713,34753,1213,1471,2684,828,26,854,306,36,342,486,224,710,286,143,429,979,968,1947,22436,19854,42290,5,4,9,0,0,0,0,0,0,46,20,66,3,0,3,6,3,9,60,27,87,0,0,0,0,0,0,5,12,17,14,30,44,7,6,13,26,48,74,196,126,322,282,201,483,22,14,36,8,4,12,14,8,22,44,26,70,1974,2351,4325,2478,3789,6267,514,442,956,27728,26663,54391
CED140,15,8,23,209,137,346,12,0,12,5,0,5,66,63,129,23587,19592,43179,2369,2017,4386,905,42,947,340,42,382,372,72,444,557,153,710,2170,1505,3675,30607,23631,54238,5,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,16,7,23,3,9,12,3,6,9,22,22,44,213,95,308,240,120,360,4,4,8,0,0,0,25,3,28,29,7,36,2258,2037,4295,2475,3984,6459,623,555,1178,36232,30334,66566
CED141,1867,1357,3224,275,387,662,19,4,23,3,5,8,35,34,69,18303,15787,34090,1345,1536,2881,631,9,640,232,16,248,153,47,200,199,88,287,656,644,1300,23718,19914,43632,492,345,837,9,8,17,11,3,14,877,496,1373,145,188,333,112,21,133,1646,1061,2707,3,0,3,0,0,0,6,4,10,27,43,70,12,7,19,48,54,102,261,112,373,1955,1227,3182,271,170,441,12,8,20,19,8,27,302,186,488,1368,1808,3176,2657,4360,7017,509,441,950,30509,27936,58445
CED142,123,90,213,340,377,717,5,0,5,0,0,0,35,15,50,20559,17252,37811,1548,1486,3034,684,15,699,284,19,303,196,29,225,127,66,193,442,439,881,24343,19788,44131,41,23,64,0,0,0,0,0,0,84,65,149,14,22,36,4,0,4,143,110,253,0,0,0,0,0,0,4,21,25,22,44,66,9,8,17,35,73,108,193,82,275,371,265,636,28,23,51,3,6,9,7,3,10,38,32,70,689,1014,1703,2443,4109,6552,446,374,820,28330,25582,53912
CED143,5204,4272,9476,6763,7684,14447,400,292,692,271,223,494,542,404,946,14877,10710,25587,917,1695,2612,215,6,221,961,221,1182,2169,851,3020,342,188,530,10750,9266,20016,43411,35812,79223,1315,1270,2585,31,35,66,50,33,83,75,53,128,52,60,112,133,74,207,1656,1525,3181,67,90,157,28,31,59,84,80,164,49,73,122,139,171,310,367,445,812,294,184,478,2317,2154,4471,234,189,423,70,46,116,40,25,65,344,260,604,2109,1997,4106,2996,4343,7339,443,402,845,51620,44968,96588
