CED_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED205,7233,14759,8608,6307,8611,6360,4750,7183,1339,65151
CED206,6493,9643,9873,7485,9956,7402,6839,7552,1438,66675
CED207,8669,11673,13411,7955,9789,6770,4123,7023,1151,70554
CED208,9845,22859,7328,7020,9839,7267,2205,4907,1196,72477
CED209,9779,15846,10586,8470,8297,7062,3366,6845,1138,71401
CED210,6547,11838,9790,8496,7765,6559,4615,7557,1113,64284
CED211,9117,19808,8687,7028,10228,6737,2562,4884,1006,70071
CED212,8412,12796,11052,7846,9061,7403,3551,5955,1079,67140
CED213,9163,10583,12815,7852,8065,7115,3598,7015,1084,67294
CED214,10591,20591,8897,7679,10631,6721,4967,7081,1495,78644
CED215,7824,8980,9335,6806,6847,5558,4086,7212,1028,57676
CED216,14654,24225,5315,6236,9208,6763,1166,2572,1048,71187
CED217,7999,12148,12096,9182,12886,8715,9758,9768,1806,84360
CED218,14955,31775,5417,6634,10302,7344,1064,2812,1380,81684
CED219,7846,12023,14582,10102,12340,8908,9930,11387,1697,88803
CED220,8408,15880,8930,6718,9609,7217,4252,6938,1204,69157
CED221,9590,10169,9810,7505,6983,5723,4399,7586,1060,62829
CED222,9751,15508,10681,7699,11116,7759,5003,6868,1342,75735
CED223,10072,21270,8416,6918,10248,6007,1982,3786,986,69680
CED224,13196,28056,4164,5881,9022,6589,872,2410,1175,71365
CED225,10068,15669,13002,8185,11861,7936,4452,6481,1164,78807
CED226,11068,19322,13526,11744,15913,10169,11234,10113,1966,105043
CED227,11154,8629,7560,6502,6136,5740,3933,8069,996,58717
CED228,9237,17120,8886,7627,10627,7394,5010,7509,1629,75035
CED229,11513,16240,16471,11685,15038,9832,8097,9207,1626,99701
CED230,9776,10323,12143,7965,8631,6997,5567,8950,1220,71572
CED231,15721,42708,7643,11163,11941,8252,1765,5241,1762,106199
CED232,16937,34246,6549,7595,10875,7094,1185,3019,1543,89039
CED233,10605,17730,7103,5886,9397,7280,1657,3645,1053,64351
CED234,10588,8927,8423,6403,6382,5781,4249,9130,1011,60900
CED235,7566,13110,11365,8547,11082,8321,6353,8041,1340,75723
CED236,10714,8514,7855,6367,5593,5370,4141,8368,957,57866
CED237,10392,26239,9635,8569,11348,7135,3470,5855,1374,84018
CED294,178,405,297,277,182,134,200,307,57,2033
CED297,0,4,7,0,0,0,0,3,0,23
CED301,6262,8982,10098,8458,9140,6220,6391,8870,1171,65595
CED302,9731,18730,8764,7119,11691,6923,3702,5794,1160,73626
CED303,8723,12036,11172,7656,11209,7051,4418,6871,1034,70168
CED304,13911,32832,7655,8944,12455,7652,1994,5335,1419,92200
CED305,7134,9657,12298,6779,8054,5727,8386,7718,991,66737
CED306,8466,11041,12660,7589,8596,6770,7694,8549,1119,72482
CED307,8824,14711,10713,8515,12076,6870,4171,5849,1059,72792
CED308,9719,12901,11711,8963,11049,9455,4593,7737,1380,77508
CED309,8003,13818,10987,8212,8958,7457,3281,6938,1022,68671
CED310,7069,10908,9929,7420,7740,6927,3252,6434,917,60594
CED311,9225,7990,12083,6032,7217,5376,9201,9336,1152,67613
CED312,7632,10034,12528,8138,11025,7769,6973,9080,1325,74501
CED313,12608,29754,8341,8140,12244,7063,2334,5369,1269,87124
CED314,7783,12808,10113,7510,9055,6131,4410,7878,820,66522
CED315,6781,13539,11197,10995,9796,7107,5558,7088,1075,73138
CED316,5043,8067,7007,6533,5707,5512,3514,6713,741,48835
CED317,9164,8436,10251,7118,7184,5293,6549,9623,1161,64785
CED318,8795,15109,11470,11016,9907,7833,4498,8008,1406,78047
CED319,9472,19981,9783,8311,12836,7070,3900,6433,1200,78986
CED320,6338,8055,10989,7996,9295,7251,5787,9005,1175,65884
CED321,12464,7678,8796,6076,6896,5128,5776,10071,1061,63948
CED322,8674,14636,10518,9027,9558,8849,2965,6281,1163,71668
CED323,9419,14224,10543,9612,9569,9492,3339,7836,1364,75412
CED324,8389,21466,8315,7562,9970,6688,3759,6883,1303,74343
CED325,7414,14079,9261,8433,10504,6635,6293,7801,1292,71716
CED326,7637,13195,10443,8937,11384,7381,4938,7530,1255,72703
CED327,6880,12657,10949,8400,11510,7535,8286,9672,1506,77387
CED328,10846,28050,6359,8072,10361,6495,1646,3804,979,76603
CED329,6698,8157,8148,6748,6286,5593,3674,6903,866,53069
CED330,9129,9934,11950,7290,9804,6337,6042,9024,1131,70643
CED394,264,446,392,349,226,182,300,825,97,3087
CED397,13,8,9,0,7,7,0,6,4,60
CED401,10458,25479,7082,8188,9703,6542,2407,5645,1165,76669
CED402,11408,7718,8727,6743,6758,6146,5268,12219,964,65967
CED403,8618,19678,8046,8387,9814,6406,2035,5044,888,68926
CED404,9525,7656,8523,6706,5806,4987,5597,7668,1073,57554
CED405,8959,16962,8663,8730,10978,7133,3151,5911,1054,71553
CED406,5949,9675,11393,9377,9609,7448,4174,7383,957,65975
CED407,6977,12167,10624,8758,11164,7164,4494,6993,1094,69438
CED408,9633,13321,9133,7438,7774,5756,3054,6451,846,63407
CED409,6444,10731,10139,9222,9839,6993,6252,9883,1226,70735
CED410,8452,19869,7372,7339,9741,6525,2315,5195,1009,67826
CED411,7587,7715,10309,8673,8298,6596,6678,10248,1214,67322
CED494,54,103,112,53,57,49,85,212,11,734
CED497,0,3,0,0,0,0,0,0,0,3
CED501,6280,9727,14322,9052,9061,6936,6924,8037,1305,71643
CED502,6831,12562,13059,8608,11051,7732,7527,8332,1263,76954
CED503,6140,8137,12096,6692,7435,5741,6618,6471,1040,60374
CED504,6775,10927,12355,7868,10238,7237,5213,7827,1259,69698
CED505,11185,27280,5623,6249,7882,5312,1363,3454,991,69344
CED506,11801,11703,16857,7840,8803,5077,10362,10089,1680,84223
CED507,7819,9883,12159,6883,7287,6424,5651,8766,1008,65875
CED508,8686,18003,11655,7534,9853,6252,4135,6029,1231,73375
CED509,6863,11238,11601,7198,9408,5838,5971,6579,1130,65823
CED510,9310,16978,11404,7671,10826,7158,2863,5008,1064,72287
CED511,11828,9117,11576,6753,7121,5407,7933,8704,1152,69597
CED512,9373,11824,15798,10016,11855,8089,7144,8983,1400,84487
CED513,10402,23630,9863,7996,10289,6096,3179,5617,1209,78282
CED514,8328,17032,10266,7701,9755,6569,3776,6591,1160,71179
CED515,8840,19706,10963,8539,10379,6571,4992,7281,1256,78527
CED516,8775,19179,7376,6121,9031,5803,2427,4330,929,63971
CED594,104,235,349,162,114,90,276,386,58,1773
CED597,11,78,87,3,10,0,35,100,9,334
CED601,4905,8204,5899,5261,5364,4721,3019,4918,677,42959
CED602,4720,5345,5896,4763,4484,4035,3422,6019,712,39390
CED603,5233,12484,5420,5907,6435,4261,1830,3897,803,46271
CED604,5759,9797,6556,5699,7179,4392,1930,4300,777,46383
CED605,5829,4883,6432,5090,4710,3978,3577,5974,797,41280
CED694,17,49,38,33,27,14,20,54,3,247
CED697,3,14,9,9,0,0,3,15,0,47
CED701,5177,8246,6636,6275,5381,2474,2638,4569,1319,42719
CED702,7434,12411,9623,7967,8810,4539,3303,5126,1239,60432
CED794,41,108,104,84,34,32,63,104,15,574
CED797,0,4,8,0,0,0,0,13,0,28
CED801,17134,30713,9272,10141,17245,6600,2458,4759,2545,100874
CED802,15835,32070,10546,11663,17509,7447,2275,5702,2601,105655
CED894,21,57,14,34,28,12,8,20,6,202
CED897,0,0,0,0,0,0,0,0,0,0
CED994,0,3,0,4,0,0,3,0,0,11
CED997,0,3,0,0,0,0,0,4,0,6
