CED_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
CED111,7,5,9,7,3,51,1875,317,51,36,4,11,22,13,14,10,20,495,26,0,0,0,0,0,0,0,0,3,29,2046,112,66,8,18,28,16,22,13,74,2399,6,0,0,0,0,0,0,0,0,0,6,4619,176,99,17,18,34,25,26,13,132,5152,2499,23,29,3,5,9,3,3,0,64,2634,1690,8,4,0,0,3,3,0,0,43,1762,581,17,21,6,4,8,4,6,6,25,684,24,0,0,0,0,0,0,0,0,3,26,2298,29,21,6,4,14,6,7,11,78,2465,11,0,0,0,0,0,0,0,0,14,25,4809,54,50,6,8,18,9,14,9,154,5132,1348,3,11,0,0,3,0,0,0,67,1436,1213,0,0,0,3,0,0,0,0,48,1266,872,15,15,0,0,9,0,0,0,46,971,19,0,0,0,0,0,0,0,0,36,52,2105,18,17,0,4,9,0,0,3,131,2282,12,0,0,0,0,0
CED112,0,8,7,0,0,19,723,78,18,12,0,11,3,3,0,4,3,129,3,0,0,0,0,0,0,0,0,0,7,703,51,39,7,11,9,5,0,4,24,857,0,0,0,0,0,0,0,0,0,0,4,3184,137,98,15,17,11,17,12,8,92,3592,2604,48,50,13,10,5,14,3,3,97,2853,657,5,11,6,3,0,0,0,0,19,705,95,5,12,3,4,0,3,0,0,7,129,9,0,0,0,0,0,0,0,0,0,14,771,11,26,4,13,0,3,0,0,22,845,12,0,0,0,0,0,0,0,0,7,16,3384,58,70,25,19,5,17,7,3,126,3711,1597,40,26,0,0,3,3,4,0,68,1738,403,3,3,3,0,0,0,0,0,14,421,78,7,7,0,0,0,0,0,0,6,93,8,0,0,0,0,0,0,0,0,0,12,485,9,6,4,0,0,0,0,0,20,521,13,0,0,0,0,0
CED113,3,3,0,0,0,19,793,73,12,6,0,4,0,3,3,5,9,122,5,0,0,0,0,0,0,0,0,3,10,772,47,40,7,7,4,5,4,11,27,925,5,0,0,0,0,0,0,0,0,15,22,3257,148,92,13,15,15,12,13,9,140,3718,2690,21,19,3,3,4,4,3,0,92,2841,693,9,4,0,0,3,3,0,0,19,734,90,3,7,0,0,0,0,0,3,3,107,9,0,0,0,0,0,0,0,0,0,13,794,13,11,0,0,3,3,0,3,25,849,4,0,0,0,0,0,0,0,0,9,14,3489,33,31,5,3,9,5,3,3,122,3705,1209,11,5,0,0,3,0,0,0,52,1281,507,0,3,0,0,0,0,0,0,16,530,109,0,5,3,0,0,0,0,0,3,126,11,0,0,0,0,0,0,0,0,3,15,630,6,3,3,0,0,0,0,0,20,669,9,0,0,0,0,0
CED114,10,3,4,4,4,28,548,64,7,22,15,12,12,12,11,15,21,181,0,0,0,0,0,0,0,0,0,0,3,466,63,46,15,31,12,14,11,20,47,726,3,0,0,0,0,0,0,0,0,0,8,1733,127,83,21,40,17,14,18,22,117,2190,1635,24,0,4,0,3,0,3,0,72,1739,514,6,7,0,4,0,5,0,0,21,558,91,9,12,5,5,0,3,6,3,12,146,7,0,0,0,0,0,0,0,0,0,12,609,20,20,8,8,3,9,5,3,30,721,4,0,0,0,0,0,0,0,0,3,10,2247,45,21,9,7,4,6,11,3,104,2474,817,13,6,0,3,0,0,0,0,44,879,426,5,0,0,0,0,0,0,0,27,461,185,9,5,4,0,4,0,0,0,18,225,10,0,0,0,0,0,0,0,0,0,10,620,10,5,4,0,4,3,0,0,48,694,6,0,0,0,0,0
CED115,21,33,35,10,8,167,6974,4913,527,412,109,82,154,110,104,76,235,6722,81,4,3,0,0,0,3,0,0,11,102,11192,867,572,126,100,183,148,120,82,413,13796,12,0,0,0,0,0,0,0,0,7,19,12316,905,594,125,104,188,147,119,87,454,15038,996,4,6,0,0,0,0,0,0,31,1035,3794,76,54,10,3,4,4,5,3,83,4045,3310,265,215,55,54,69,66,50,25,127,4229,53,3,0,0,0,0,0,3,0,5,67,7159,347,275,71,58,74,69,57,26,218,8349,3,3,0,0,0,0,0,0,0,4,7,8154,347,281,73,61,74,73,57,26,249,9395,448,4,0,0,0,0,0,0,0,21,470,1591,12,13,0,3,3,0,0,3,60,1697,2332,152,97,30,16,24,24,13,14,182,2880,37,0,0,0,0,0,0,0,0,17,59,3965,162,112,32,19,28,24,16,16,259,4629,5,0,0,0,0,0
CED116,3,3,6,0,0,10,550,39,5,3,3,0,0,0,3,3,3,64,3,0,0,0,0,0,0,0,0,0,3,531,21,17,6,7,0,3,3,3,17,614,14,0,0,0,0,0,0,0,0,10,21,3384,104,72,11,9,9,13,6,7,124,3754,4202,50,48,8,18,3,6,7,0,133,4475,730,11,9,0,0,3,5,3,0,19,776,60,3,3,0,3,4,3,0,3,3,80,10,0,0,0,0,0,0,0,0,5,11,797,12,13,0,3,3,3,3,3,28,867,12,0,0,0,0,0,0,0,0,9,22,5013,61,61,11,21,9,12,10,3,169,5366,2197,23,16,3,0,0,3,0,0,65,2312,542,0,0,0,0,0,0,0,0,17,563,90,0,0,0,0,0,0,0,0,3,96,3,0,0,0,0,0,0,0,0,3,8,637,0,4,0,0,0,0,0,0,19,660,12,0,0,0,0,0
CED117,3,4,3,3,0,57,2274,704,57,57,5,26,20,16,12,26,51,970,16,0,0,0,0,0,0,0,0,0,21,2791,140,99,15,26,22,19,13,24,108,3262,8,0,0,0,0,0,0,0,0,4,14,5337,244,150,34,38,32,30,24,30,179,6083,1793,17,20,3,3,3,0,0,0,60,1904,1800,7,10,7,0,3,0,3,3,52,1883,917,24,33,16,13,5,12,12,6,69,1107,18,0,0,0,0,0,0,0,0,0,19,2742,35,38,18,14,6,14,16,8,118,3008,4,0,0,0,0,0,0,0,0,0,5,4535,56,56,23,12,15,14,12,8,178,4917,558,12,8,3,3,0,0,0,0,49,636,1156,3,4,0,3,0,3,0,0,61,1230,1298,17,21,6,3,0,0,3,3,149,1495,20,0,0,0,0,0,0,0,0,4,22,2466,18,22,10,7,3,3,3,3,213,2756,3,0,0,0,0,0
CED118,27,44,18,31,35,109,5156,665,134,173,31,64,55,60,64,61,151,1458,39,8,6,0,0,3,0,0,0,0,52,4903,662,342,48,94,102,77,94,94,261,6660,4,0,0,0,0,0,0,0,0,25,30,6846,813,412,58,104,104,79,98,98,332,8937,1732,40,23,3,5,10,0,3,0,43,1854,2333,118,116,16,22,24,19,26,14,74,2758,621,88,143,32,30,41,37,33,27,51,1100,29,3,0,0,0,0,0,0,0,0,41,2982,216,260,45,55,57,55,56,45,132,3900,4,0,0,0,0,0,0,0,0,3,15,4718,253,285,54,58,67,52,60,49,180,5766,697,10,7,7,0,0,0,0,0,27,753,957,63,48,3,12,11,5,3,4,32,1130,481,74,62,4,10,9,9,7,8,38,695,10,0,0,0,0,0,0,0,0,5,16,1452,134,107,11,23,15,14,7,15,70,1843,3,0,0,0,0,0
CED119,7,4,6,5,0,38,2304,266,25,45,18,24,15,16,19,7,36,463,19,0,0,0,0,0,0,0,0,3,19,2364,137,90,23,29,14,25,21,13,74,2782,3,0,0,0,0,0,0,0,0,3,9,4486,219,137,23,36,26,33,21,13,125,5113,1964,29,21,0,6,0,9,0,3,43,2074,1265,25,16,7,3,0,3,6,0,31,1349,236,12,35,4,9,12,8,11,3,19,359,7,0,0,0,0,0,0,0,0,0,7,1513,39,53,15,14,14,9,14,3,55,1719,6,0,0,0,0,0,0,0,0,3,4,3482,63,68,14,12,16,20,19,4,99,3801,878,10,14,3,4,0,3,0,0,33,943,538,5,3,0,0,0,0,0,0,24,575,254,15,22,4,3,3,0,3,5,17,324,6,0,0,0,0,0,0,0,0,0,7,799,19,28,4,7,3,0,3,5,47,907,9,0,0,0,0,0
CED120,7,5,4,0,3,28,782,62,15,10,4,0,0,0,0,0,8,106,6,0,0,0,0,0,0,0,0,0,6,757,47,27,11,7,9,6,5,4,37,905,5,0,0,0,0,0,0,0,0,11,10,3219,117,69,12,10,8,7,11,7,135,3593,2508,24,26,5,0,4,3,3,0,105,2677,658,6,3,3,0,3,0,0,3,16,692,85,3,8,0,3,0,3,3,0,3,113,11,0,0,0,0,0,0,0,0,0,10,751,11,11,0,4,4,7,3,3,24,819,13,0,0,0,0,0,0,0,0,9,23,3270,33,36,8,4,6,11,3,3,136,3523,1045,22,4,4,0,0,0,3,0,62,1138,328,0,0,0,0,0,0,0,0,28,356,65,0,8,0,0,0,0,0,0,6,90,3,0,0,0,0,0,0,0,0,0,8,400,0,8,0,0,0,0,0,0,34,446,12,0,0,0,0,0
CED121,3,3,6,0,0,11,392,19,8,5,0,0,8,0,0,3,4,56,3,0,0,0,0,0,0,0,0,0,3,341,35,16,3,3,12,3,3,3,19,447,0,0,0,0,0,0,0,0,0,27,23,1974,125,62,13,3,18,9,9,5,102,2317,2054,47,34,9,0,3,0,4,0,74,2228,332,4,5,0,0,0,0,0,0,15,368,25,3,8,0,0,0,0,0,0,3,41,10,0,0,0,0,0,0,0,0,0,10,369,7,11,0,0,0,0,0,0,16,410,3,0,0,0,0,0,0,0,0,21,25,2425,54,48,10,3,4,0,5,0,112,2662,997,16,11,0,0,0,0,0,0,71,1101,180,0,3,0,0,0,3,4,0,9,194,27,0,0,0,0,0,0,0,0,3,33,0,0,0,0,0,0,0,0,0,3,5,208,0,3,0,0,0,3,4,0,16,235,7,0,0,0,0,0
CED122,16,13,14,9,12,87,3883,678,86,77,16,18,30,30,21,21,58,1046,38,0,0,0,0,0,0,0,0,0,38,4166,265,174,33,31,39,47,30,30,146,4967,3,0,0,0,0,0,0,0,0,47,54,6610,382,230,45,39,57,51,47,35,261,7753,2066,31,37,5,6,5,6,6,4,55,2226,2929,57,26,3,4,4,9,3,7,61,3105,850,47,52,16,17,13,24,17,7,44,1097,37,0,0,0,0,0,0,0,0,5,46,3817,105,85,19,18,24,27,21,11,112,4244,13,0,0,0,0,0,0,0,0,37,46,5894,136,123,27,25,27,32,29,15,207,6515,879,30,21,6,0,5,0,0,0,21,966,1754,15,8,3,0,5,3,3,0,60,1856,1113,51,39,4,4,6,0,0,0,41,1265,27,0,0,0,0,0,0,0,0,3,27,2897,66,42,5,8,15,6,5,0,106,3150,4,0,0,0,0,0
CED123,7,14,16,6,0,44,2142,220,31,27,9,17,16,18,17,19,45,412,19,0,0,0,0,0,0,0,0,3,27,2103,156,91,15,27,32,34,18,15,90,2587,8,0,0,0,0,0,0,0,0,15,23,5078,265,140,17,37,42,36,25,20,193,5847,2762,19,20,3,3,3,5,4,0,61,2877,1476,20,23,3,8,3,3,4,0,40,1580,248,26,37,8,7,11,15,10,9,30,406,16,0,0,0,0,0,0,0,0,0,18,1741,44,61,7,15,13,15,15,5,72,2002,4,0,0,0,0,0,0,0,0,7,14,4508,70,77,14,19,16,25,20,5,147,4898,1167,12,6,0,4,0,0,0,0,41,1233,734,11,5,0,0,0,3,0,0,34,789,259,22,13,0,8,6,4,0,4,17,331,14,0,0,0,0,0,0,0,0,0,18,1001,34,19,0,8,6,3,6,4,53,1134,10,0,0,0,0,0
CED124,5,4,4,0,0,3,310,17,3,0,4,0,0,4,0,0,0,26,3,0,0,0,0,0,0,0,0,0,3,257,32,19,7,3,4,6,3,0,3,338,6,0,0,0,0,0,0,0,0,0,8,2168,110,53,15,8,6,12,14,0,71,2449,2947,61,29,4,7,3,4,3,0,111,3173,327,4,9,3,0,0,0,0,0,15,359,21,0,3,0,0,0,0,0,0,0,24,8,0,0,0,0,0,0,0,0,0,8,350,5,8,3,0,0,0,0,0,15,393,13,0,0,0,0,0,0,0,0,9,23,3314,68,39,4,8,3,4,3,0,135,3586,1457,14,12,4,0,0,3,0,0,54,1549,217,4,3,0,0,0,0,0,0,4,225,13,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,5,233,5,3,0,0,0,0,0,0,4,251,5,0,0,0,0,0
CED125,9,16,10,11,8,67,3409,624,61,75,11,21,25,25,7,23,56,938,30,0,0,0,0,0,0,0,0,3,33,3607,285,150,29,38,47,35,23,36,121,4375,12,0,0,0,0,0,0,0,0,4,17,6251,368,186,34,40,50,47,23,36,219,7261,2352,21,17,4,0,0,0,3,0,48,2451,1886,36,29,7,0,4,7,5,9,50,2036,472,34,42,8,8,10,8,15,8,33,635,18,0,0,0,0,0,0,0,0,0,22,2377,70,73,11,9,14,18,22,14,84,2694,11,0,0,0,0,0,0,0,0,6,17,4736,85,92,14,16,20,17,20,14,141,5160,945,12,12,0,0,0,4,0,0,25,1000,650,13,6,3,0,0,0,0,0,13,699,361,34,33,5,3,7,6,6,0,13,460,12,0,0,0,0,0,0,0,0,3,9,1023,47,45,11,4,8,7,6,3,33,1176,5,0,0,0,0,0
CED126,6,3,7,6,4,37,1703,220,24,35,10,3,11,11,10,8,25,369,13,0,0,0,0,0,0,0,0,0,12,1747,116,76,15,12,15,17,16,16,61,2084,4,0,0,0,0,0,0,0,0,7,14,5152,295,177,35,22,26,24,19,17,147,5918,3212,74,66,14,19,11,14,10,6,73,3501,1194,14,17,3,3,3,8,3,3,23,1265,173,20,18,3,15,3,7,10,9,8,256,11,0,0,0,0,0,0,0,0,0,8,1378,30,33,5,17,7,12,10,13,36,1530,9,0,0,0,0,0,0,0,0,6,17,4604,103,104,18,34,19,27,19,14,117,5043,1571,58,33,0,8,0,4,5,3,65,1744,714,12,3,3,0,0,0,0,0,34,767,211,19,12,0,4,4,0,8,0,10,265,14,0,0,0,0,0,0,0,0,0,14,934,34,18,3,5,3,0,11,0,40,1048,13,0,0,0,0,0
CED127,3,0,3,0,0,20,782,46,3,14,3,0,0,0,3,0,9,80,3,0,0,0,0,0,0,0,0,0,3,759,33,30,3,3,0,3,3,0,28,867,3,0,0,0,0,0,0,0,0,3,8,4031,110,65,16,10,7,9,4,3,101,4354,3235,34,20,3,0,0,0,7,0,89,3387,788,9,4,0,0,0,0,0,0,9,817,87,4,9,0,0,0,0,3,0,12,113,4,0,0,0,0,0,0,0,0,0,4,877,12,13,0,0,3,0,7,0,24,937,6,0,0,0,0,0,0,0,0,6,13,4115,41,36,3,3,3,3,7,3,118,4333,1416,17,11,6,0,0,0,0,3,56,1517,391,8,0,0,3,0,0,0,0,14,405,60,0,7,0,0,0,0,0,0,8,72,3,0,0,0,0,0,0,0,0,3,3,454,8,7,0,3,0,0,0,0,20,487,4,0,0,0,0,0
CED128,20,37,26,18,12,156,5728,1969,360,334,84,62,120,134,96,83,96,3334,65,4,4,0,0,0,0,0,0,3,77,6998,684,492,108,88,153,156,117,90,251,9142,11,0,0,0,0,0,0,0,0,10,20,8863,751,523,119,98,153,162,124,94,316,11183,1658,16,5,0,0,0,6,0,0,51,1745,3498,79,65,17,9,18,7,4,3,89,3782,1596,183,217,35,30,103,57,49,40,77,2394,57,0,0,0,0,0,0,0,0,6,73,5151,257,280,49,44,117,70,55,49,171,6241,8,0,0,0,0,0,0,0,0,7,12,6817,276,291,51,42,118,69,55,49,229,7999,654,7,0,0,0,0,0,0,0,36,697,1655,39,26,3,3,4,3,3,0,46,1777,1375,103,92,10,26,17,28,18,15,59,1750,30,0,0,0,0,0,0,0,0,10,44,3060,139,114,13,29,24,30,23,15,118,3572,4,0,0,0,0,0
CED129,12,11,8,8,5,62,4594,571,112,193,48,55,59,87,65,38,123,1348,27,4,5,0,0,0,0,0,0,0,34,4664,397,310,68,70,66,93,72,46,180,5979,6,0,0,0,0,0,0,0,0,4,7,7104,556,370,80,86,79,110,79,48,221,8743,2230,26,23,4,7,4,0,5,3,44,2343,2293,66,58,12,6,11,7,12,8,44,2532,394,80,145,48,49,34,42,36,32,91,951,11,0,0,0,0,0,0,0,0,0,16,2696,153,199,62,59,53,55,45,40,132,3495,0,0,0,0,0,0,0,0,0,0,3,4928,172,226,63,63,53,55,51,46,178,5844,968,22,6,3,0,0,0,0,0,30,1040,860,31,23,10,3,4,0,0,0,19,958,358,79,55,17,16,14,3,3,0,21,582,11,0,0,0,0,0,0,0,0,3,21,1236,115,79,27,27,17,4,10,4,48,1557,3,0,0,0,0,0
CED130,3,0,4,6,0,5,262,15,3,9,0,3,0,3,3,6,11,53,0,0,0,0,0,0,0,0,0,0,6,199,33,32,7,9,0,3,9,6,13,314,0,0,0,0,0,0,0,0,0,3,4,1384,80,73,12,12,9,12,10,6,70,1672,1425,21,18,4,0,0,3,3,0,42,1512,164,7,6,0,0,0,0,0,0,7,182,19,0,0,0,0,0,0,0,0,3,24,3,0,0,0,0,0,0,0,0,0,3,183,7,9,0,0,0,0,3,0,10,214,4,0,0,0,0,0,0,0,0,0,5,1606,26,26,4,3,6,3,3,0,55,1729,648,3,6,0,0,0,0,0,3,52,713,102,0,0,0,0,0,0,0,0,3,113,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,4,116,0,0,0,0,0,0,0,0,6,132,4,3,0,0,0,0
CED131,4,6,0,3,3,12,783,115,19,6,3,11,3,3,3,11,12,176,3,0,0,0,0,0,0,0,0,0,9,816,52,24,10,16,5,3,8,9,27,970,0,0,0,0,0,0,0,0,0,7,10,2309,95,55,10,21,14,13,14,13,89,2632,1336,10,9,4,3,0,0,0,3,45,1403,623,3,8,0,0,0,0,3,0,10,651,141,3,6,3,3,7,3,0,0,12,185,6,0,0,0,0,0,0,0,0,0,10,773,9,16,3,3,7,5,3,0,23,846,13,0,0,0,0,0,0,0,0,15,31,2116,18,25,7,4,7,8,3,3,83,2274,580,3,6,3,0,0,0,3,0,19,615,450,0,3,0,0,0,3,0,0,24,481,262,0,9,0,3,0,0,0,0,10,285,5,0,0,0,0,0,0,0,0,0,5,717,0,7,0,3,0,0,0,3,30,771,7,0,0,0,0,0
CED132,20,18,21,20,6,54,2790,461,88,100,42,25,34,45,51,30,65,945,22,0,3,0,0,0,0,0,0,3,26,2894,227,175,57,53,57,71,75,38,118,3764,7,0,0,0,0,0,0,0,0,0,5,5999,381,277,74,76,64,90,103,53,178,7293,2728,38,33,3,5,5,4,13,5,42,2875,1847,49,22,9,12,8,3,8,0,38,2000,398,50,90,25,22,20,30,22,11,49,716,12,0,0,0,0,0,0,0,0,0,17,2258,100,110,31,32,22,31,31,11,89,2730,0,0,0,0,0,0,0,0,0,0,0,4987,142,141,36,37,25,33,44,16,125,5606,1098,20,17,4,0,3,4,3,3,44,1192,962,22,4,0,0,0,3,3,0,31,1025,504,60,36,0,7,5,3,4,3,23,641,7,0,0,0,3,0,0,0,0,0,7,1479,82,34,3,12,5,7,5,3,50,1683,6,0,0,0,0,0
CED133,3,5,3,3,0,8,417,27,7,9,3,3,4,0,3,7,3,70,4,0,0,0,0,0,0,0,0,0,5,387,34,20,7,10,6,5,8,7,11,497,3,0,0,0,0,0,0,0,0,4,9,2606,95,69,11,20,8,14,13,16,100,2945,2317,31,24,6,0,5,6,3,0,77,2471,315,10,5,0,0,0,0,0,0,4,341,26,0,3,3,0,3,0,4,3,3,38,4,0,0,0,0,0,0,0,0,0,7,341,12,9,4,0,0,3,4,3,12,386,11,0,0,0,0,0,0,0,0,7,16,2672,44,30,7,4,4,6,4,3,91,2877,1006,17,8,4,0,0,3,0,0,32,1075,184,9,0,0,0,0,0,0,0,7,203,25,6,3,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,0,0,3,220,11,7,0,0,0,0,0,0,14,247,6,0,0,0,0,0
CED134,0,0,0,0,0,3,252,25,0,3,0,0,0,0,5,3,3,36,0,0,0,0,0,0,0,0,0,0,3,211,31,22,3,0,0,5,4,8,10,293,3,0,0,0,0,0,0,0,0,3,6,995,65,57,8,9,8,3,7,12,51,1216,923,16,21,0,0,0,3,3,0,40,994,192,10,9,0,0,0,0,0,0,10,217,28,3,0,0,0,0,0,0,3,3,47,0,0,0,0,0,0,0,0,0,0,0,220,10,7,0,0,0,0,0,3,16,265,6,0,0,0,0,0,0,0,0,4,9,1149,25,25,0,0,0,3,3,3,56,1266,399,6,3,0,0,0,0,0,0,22,432,133,0,3,0,0,0,0,0,0,0,147,23,0,0,0,0,0,0,0,0,4,27,3,0,0,0,0,0,0,0,0,0,3,158,0,3,0,0,0,0,0,0,9,171,3,0,0,0,0,0
CED135,34,28,29,32,38,138,5807,1669,332,334,108,102,129,124,113,116,284,3324,40,7,0,0,3,0,0,0,0,0,52,6571,746,549,138,140,161,148,149,153,424,9184,3,0,3,0,0,0,0,0,3,7,21,8092,822,577,153,151,166,152,162,169,476,10913,1268,20,19,0,0,3,3,6,4,45,1372,2561,90,62,10,15,19,16,25,23,96,2905,1238,174,271,75,64,60,67,57,43,143,2191,34,0,3,0,0,0,0,0,0,6,45,3833,264,332,86,78,77,82,77,64,241,5139,3,0,0,0,0,0,0,0,0,10,11,5106,280,359,86,79,75,84,89,66,296,6527,630,14,7,0,0,0,0,0,0,46,689,1037,37,37,6,3,0,3,6,3,47,1181,1153,148,117,17,24,27,9,13,12,86,1608,12,3,3,0,0,0,0,0,0,6,27,2206,186,152,28,26,32,10,19,16,138,2817,0,0,0,0,0,0
