CED_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED111,65,4250,252,4566,372,8581,397,9341,148,4670,237,5051,136,6161,374,6675,230,9390,650,10276,261,8996,527,9780,394,9048,588,10023,539,7831,552,8927,701,5533,473,6701,847,2825,333,3994,677,712,142,1536,4350,67996,4526,76868,30,4096,208,4332,154,8401,353,8906,98,4500,236,4839,87,5570,356,6008,187,9199,603,9990,261,9269,503,10030,385,9260,523,10167,604,8310,565,9477,702,5973,512,7185,1247,3258,391,4902,1470,929,283,2674,5225,68755,4528,78513,93,8344,464,8904,528,16976,744,18244,247,9170,475,9886,223,11735,731,12683,415,18590,1254,20262,518,18264,1033,19810,777,18305,1105,20198,1141,16143,1115,18403,1401,11504,987,13888,2092,6078,725,8895,2140,1639,426,4206,9576,136751,9053,155380
CED112,126,4401,278,4810,697,9405,536,10639,250,4450,265,4959,178,3993,272,4440,231,7598,511,8345,277,8142,540,8964,402,8753,623,9775,607,7805,588,8998,806,6131,545,7483,787,3116,359,4263,655,881,229,1766,5017,64667,4751,74437,55,4303,253,4602,287,9124,494,9905,134,4415,235,4785,110,4088,285,4486,206,8132,492,8835,294,8893,564,9752,479,9286,619,10390,663,8752,672,10084,752,7036,634,8421,1160,3690,489,5336,1486,1157,406,3050,5625,68861,5138,79629,181,8705,529,9414,982,18528,1037,20542,385,8860,496,9744,291,8080,560,8927,445,15729,1009,17179,575,17038,1108,18712,880,18039,1242,20162,1273,16548,1257,19082,1555,13169,1174,15900,1941,6803,844,9592,2136,2043,633,4809,10645,133534,9892,154067
CED113,61,3926,329,4318,299,8567,618,9484,141,3978,298,4414,93,3190,325,3608,147,6866,803,7817,198,7724,871,8791,348,9476,1027,10845,554,9462,935,10948,576,7137,725,8429,547,2994,379,3921,387,644,157,1192,3347,63952,6469,73772,30,3553,283,3861,181,8159,624,8969,78,3804,296,4174,73,3122,292,3488,159,7087,679,7924,210,8166,719,9094,388,9860,879,11129,517,9617,883,11017,501,6854,681,8031,673,2977,390,4040,918,821,283,2029,3723,64027,6013,73764,90,7474,611,8177,484,16722,1244,18454,219,7781,591,8591,162,6312,620,7100,308,13953,1480,15739,403,15889,1592,17886,729,19342,1906,21977,1065,19075,1825,21968,1071,13991,1403,16469,1227,5971,768,7961,1304,1468,447,3218,7065,127981,12491,147532
CED114,69,4721,433,5226,460,9427,855,10738,163,4631,406,5194,135,4015,456,4599,204,7922,888,9013,265,7923,831,9018,370,9134,957,10470,629,9544,1039,11207,772,7370,881,9033,812,3654,515,4981,608,882,205,1699,4486,69222,7467,81180,29,4447,428,4908,228,9425,869,10521,92,4490,374,4955,85,3937,396,4418,173,8293,852,9322,240,8412,809,9455,415,9431,883,10722,543,9589,1032,11166,690,7452,854,8992,1003,3972,641,5613,1320,1049,356,2725,4817,70491,7490,82797,96,9169,859,10127,689,18853,1720,21264,252,9114,779,10144,215,7952,848,9016,379,16217,1743,18339,506,16329,1642,18478,783,18567,1842,21197,1169,19135,2076,22380,1466,14824,1734,18021,1810,7628,1159,10596,1935,1927,562,4422,9307,139711,14961,163980
CED115,75,4871,488,5438,352,9606,750,10714,148,5245,323,5715,123,5857,428,6411,254,10473,873,11602,331,9024,772,10120,672,9472,716,10860,1012,8092,648,9753,1201,4546,411,6159,1098,1730,220,3050,661,381,79,1116,5925,69304,5710,80936,47,4604,457,5105,157,9245,661,10073,83,5098,299,5476,67,5774,378,6219,185,11040,937,12162,388,9782,797,10965,789,9636,714,11143,1358,8464,660,10476,1317,4498,381,6198,1712,1710,230,3653,1328,378,127,1831,7429,70224,5639,83295,124,9474,951,10547,515,18852,1416,20783,227,10343,625,11193,194,11629,809,12628,439,21518,1804,23763,716,18799,1568,21087,1463,19111,1433,22004,2366,16559,1303,20231,2517,9041,792,12353,2811,3443,451,6702,1983,755,210,2947,13352,139534,11349,164235
CED116,85,3456,255,3791,464,7644,567,8672,173,3647,300,4120,150,3068,382,3606,232,5685,767,6683,272,6377,791,7436,481,7818,794,9098,778,9901,839,11519,989,9484,863,11335,933,4527,480,5945,737,1015,215,1966,5297,62619,6258,74171,38,3329,253,3615,233,7388,521,8150,120,3553,266,3932,84,2786,254,3125,173,5945,491,6614,216,6979,571,7765,477,8581,687,9742,740,10815,869,12422,857,9807,882,11547,1228,4609,592,6426,1405,1215,307,2925,5575,65004,5685,76266,121,6789,507,7411,696,15033,1089,16822,291,7195,568,8053,238,5851,633,6727,411,11629,1259,13293,489,13353,1363,15207,955,16399,1479,18836,1515,20714,1709,23941,1849,19288,1748,22881,2162,9138,1071,12371,2146,2227,521,4897,10871,127621,11945,150436
CED117,34,4235,313,4580,183,6767,478,7423,69,2486,196,2746,52,4385,388,4829,98,13072,1376,14541,141,11722,1108,12971,284,9186,883,10352,325,6269,628,7222,457,3969,381,4801,635,1597,217,2449,453,391,66,910,2726,64075,6033,72829,26,4182,294,4505,86,6334,379,6800,41,2351,181,2575,47,4798,458,5305,135,14055,1456,15636,162,12422,1094,13679,229,9540,795,10564,358,6951,609,7911,550,4342,401,5296,984,1742,204,2925,956,424,108,1487,3570,67141,5977,76684,59,8415,608,9087,272,13099,855,14225,110,4837,376,5324,97,9186,847,10131,225,27122,2833,30183,302,24148,2196,26646,514,18720,1680,20915,678,13219,1239,15134,1006,8309,783,10097,1617,3337,418,5375,1406,815,171,2391,6293,131216,12008,149513
CED118,108,6525,344,6970,483,11862,482,12829,166,5223,255,5639,116,4954,361,5433,143,11992,1048,13187,207,13671,977,14855,301,9642,674,10615,431,7124,479,8034,539,4197,290,5022,472,1574,124,2175,320,263,72,655,3287,77031,5102,85421,60,6366,334,6763,190,11287,528,12006,84,4877,220,5186,80,4566,220,4862,141,12956,670,13769,238,13266,636,14139,389,9698,482,10570,561,7353,444,8356,636,4443,290,5372,747,1638,177,2567,620,346,94,1058,3755,76803,4093,84650,167,12888,673,13730,672,23148,1013,24834,248,10102,473,10825,205,9514,578,10298,290,24947,1721,26955,439,26937,1610,28992,691,19343,1154,21184,994,14479,919,16390,1176,8640,579,10398,1225,3216,300,4744,937,606,164,1711,7040,153832,9189,170067
CED119,59,4828,146,5032,426,9531,278,10235,139,4547,164,4850,91,4306,176,4574,130,8007,379,8514,129,9527,398,10055,158,9300,421,9871,259,7765,336,8357,378,5283,248,5909,455,2042,146,2640,466,499,57,1022,2690,65629,2757,71070,37,4636,161,4840,164,9360,289,9810,72,4246,152,4472,62,4023,133,4215,121,8388,337,8847,165,10195,405,10770,206,9728,365,10300,335,8147,338,8815,465,5557,269,6288,684,2212,161,3057,1045,677,81,1805,3350,67176,2691,73218,95,9465,311,9871,591,18894,564,20048,207,8794,312,9318,150,8321,311,8788,250,16396,715,17359,293,19722,807,20829,362,19027,787,20171,596,15913,671,17172,837,10838,522,12202,1138,4255,307,5699,1512,1172,139,2827,6042,132803,5451,144289
CED120,78,4849,310,5238,578,9914,541,11038,206,4610,268,5086,123,4002,327,4443,168,7893,750,8813,201,8746,747,9697,285,9140,733,10160,427,8018,629,9074,650,5884,529,7069,524,2440,225,3195,410,469,99,971,3652,65963,5160,74780,54,4529,266,4858,289,9510,531,10334,102,4472,266,4841,75,3887,234,4190,153,8518,559,9234,194,9295,574,10065,327,9636,643,10604,494,8305,614,9410,605,6002,455,7059,809,2463,267,3540,959,612,162,1735,4055,67239,4565,75869,136,9382,581,10094,870,19429,1075,21369,312,9083,530,9927,194,7888,559,8640,319,16417,1306,18040,397,18046,1323,19762,614,18770,1374,20761,917,16325,1240,18488,1253,11890,981,14126,1339,4903,492,6738,1369,1077,258,2705,7706,133205,9732,150643
CED121,86,4876,267,5229,711,9099,597,10407,233,4569,280,5080,170,4205,409,4781,239,8262,1002,9496,277,8304,876,9460,453,8877,803,10133,759,8423,702,9883,821,6493,639,7954,783,2812,320,3921,557,664,175,1392,5089,66573,6069,77730,30,4670,315,5019,292,9154,560,10009,135,4365,234,4738,100,4077,235,4410,210,8709,598,9512,301,8823,563,9685,525,9076,643,10238,726,8717,670,10119,840,6744,626,8216,1034,3191,406,4630,1279,849,363,2487,5474,68379,5211,79068,119,9543,584,10244,1002,18252,1158,20415,370,8933,512,9821,269,8282,645,9194,445,16970,1596,19012,573,17124,1446,19146,980,17948,1443,20372,1488,17145,1374,20001,1656,13242,1265,16168,1816,6005,728,8549,1838,1512,531,3882,10560,134954,11280,156796
CED122,45,4575,344,4974,246,7918,508,8675,90,4807,379,5270,79,8323,929,9336,121,14993,1841,16957,165,11462,1404,13026,250,9257,1064,10567,367,6854,769,7988,452,4716,576,5748,679,2435,315,3427,528,618,106,1250,3020,75954,8248,87226,41,4429,314,4781,110,7623,513,8236,52,4675,318,5045,59,8193,668,8927,114,15188,1386,16691,161,12033,1011,13200,289,9756,722,10768,431,7370,637,8432,584,5429,512,6525,1053,2782,295,4135,1215,831,226,2269,4098,78311,6603,89009,87,9010,664,9752,356,15538,1018,16917,143,9481,692,10316,138,16515,1599,18261,240,30179,3231,33643,326,23489,2414,26232,535,19011,1791,21337,796,14221,1408,16421,1032,10150,1092,12274,1728,5222,615,7566,1743,1444,335,3521,7117,154268,14849,176238
CED123,123,5988,387,6499,734,10252,578,11571,232,5038,324,5595,174,5261,474,5910,251,11362,1096,12710,293,10490,937,11717,402,8963,746,10103,537,7564,609,8709,660,5057,410,6127,550,1700,184,2437,341,304,74,710,4303,71987,5812,82100,59,5611,380,6056,319,10343,552,11210,116,4839,292,5249,112,5382,401,5893,223,12169,993,13383,313,10776,823,11911,417,9356,719,10501,597,8214,563,9383,734,5205,453,6385,835,1977,259,3064,879,409,105,1394,4613,74274,5539,84430,185,11607,759,12555,1055,20591,1132,22777,355,9882,616,10850,288,10644,878,11809,471,23527,2089,26094,603,21269,1761,23635,821,18320,1466,20599,1139,15782,1175,18094,1393,10259,869,12518,1391,3675,445,5505,1220,714,175,2105,8915,146261,11350,166528
CED124,57,3251,283,3582,517,7674,538,8733,199,3736,259,4199,152,2515,228,2896,209,4647,414,5277,322,5903,504,6728,505,8036,696,9243,860,9461,802,11128,1143,9575,833,11555,874,4635,470,5973,662,1074,216,1956,5506,60506,5259,71269,35,3038,226,3306,243,7520,556,8319,128,3633,260,4015,99,2499,205,2810,187,5240,408,5834,249,6692,509,7449,492,8799,685,9979,758,10276,814,11849,900,9738,837,11480,1036,4761,524,6317,1268,1242,353,2860,5397,63437,5376,74208,92,6290,510,6885,763,15197,1094,17047,324,7369,525,8215,254,5012,435,5700,396,9886,823,11111,574,12591,1007,14176,999,16837,1384,19225,1618,19738,1618,22976,2046,19315,1673,23034,1910,9389,991,12290,1931,2313,568,4814,10894,123942,10635,145480
