CED_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
CED111,13,3,0,13,19,3,0,0,21,4,0,3,22,3,0,25,974,119,20,3,1119,20,10,28,1155,82,0,1238,162,21,4,3,191,8,4,12,201,60,0,268,3,0,0,0,3,0,0,0,3,0,3,3,1134,145,27,7,1315,28,10,37,1356,148,6,1502,209,27,3,0,239,6,3,11,253,27,0,275,236,36,10,0,280,0,3,6,282,24,0,309,9,0,3,0,11,0,0,0,13,3,0,16,0,0,0,3,3,0,0,0,3,3,0,9,459,59,12,4,534,13,7,18,553,53,3,605,7,0,0,0,7,0,0,0,7,0,0,5,3,3,0,0,4,0,0,0,4,3,0,6,8,3,0,0,11,0,0,0,14,3,0,18,470,63,12,4,545,14,7,20,563,57,3,626,92,7,4,0,101,3,0,3,104,47,0,158,0,0,0,0,0,0,0,0,0,0,0,0,557,69,14,8
CED112,12,0,0,12,18,3,0,0,23,0,3,4,25,0,0,25,719,97,18,7,833,15,3,22,856,46,3,901,104,20,3,4,128,3,0,5,135,38,0,169,0,0,0,0,0,0,0,0,0,0,0,0,815,115,20,10,963,23,8,29,989,82,3,1075,137,23,3,0,171,3,0,3,170,13,0,180,138,33,5,0,181,4,0,3,187,12,0,197,3,0,3,0,9,0,0,0,9,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,285,54,12,6,355,6,0,10,363,32,0,389,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,3,0,10,4,0,0,0,7,0,0,0,10,3,0,13,290,54,10,6,359,7,0,10,372,29,0,400,45,8,7,0,59,0,0,3,59,29,0,89,0,0,0,0,0,0,0,0,0,0,0,0,334,66,17,6
CED113,3,0,0,7,4,0,0,0,10,0,0,0,6,3,0,10,545,64,19,7,636,4,3,7,640,36,0,685,64,13,0,0,77,0,0,0,76,20,0,93,0,3,0,0,6,0,0,0,6,0,0,3,611,75,18,8,715,4,3,10,725,56,3,783,128,7,0,0,137,0,0,0,137,4,0,140,58,11,4,0,74,0,0,0,76,10,0,83,3,0,0,0,9,0,0,0,9,0,0,9,4,0,0,3,7,0,0,0,7,0,0,7,195,23,5,3,224,0,0,0,222,11,0,235,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,192,23,5,3,227,0,0,0,227,14,0,239,23,3,0,0,21,0,0,0,26,12,0,34,0,0,0,0,0,0,0,0,0,0,0,0,212,22,5,3
CED114,6,0,0,6,8,0,0,0,9,3,0,5,7,0,0,7,445,58,3,5,513,5,7,14,518,21,0,541,55,10,3,3,64,3,0,3,67,30,0,94,0,0,0,0,3,0,0,0,3,0,3,4,501,63,5,11,576,8,3,12,590,49,3,643,41,3,0,0,48,3,0,3,50,0,0,50,49,15,0,0,68,0,0,0,68,3,0,72,3,0,3,0,4,0,0,0,4,0,0,4,0,0,0,3,3,0,0,0,3,0,0,3,98,15,7,4,127,3,0,3,129,3,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,15,7,4,127,3,0,4,126,3,0,132,11,4,0,0,16,0,0,0,16,11,0,30,0,0,0,0,0,0,0,0,0,0,0,0,108,17,7,3
CED115,59,23,0,77,32,37,0,3,69,16,16,30,97,32,0,135,840,210,11,38,1100,51,26,78,1176,185,3,1360,488,177,13,37,715,39,21,62,775,491,6,1267,4,0,0,3,9,0,0,0,9,0,11,23,1337,386,24,73,1824,92,49,137,1962,670,19,2651,308,34,3,3,347,10,0,7,360,39,0,398,142,64,6,0,213,12,5,15,226,44,0,269,10,4,3,0,13,0,0,0,13,3,0,13,3,0,0,15,18,0,0,0,20,0,0,25,471,97,9,16,590,21,11,28,616,89,0,704,7,9,0,0,19,0,0,0,19,7,0,24,14,12,0,0,27,3,9,8,36,9,0,45,27,20,0,0,43,4,10,9,52,10,0,64,491,118,9,16,637,24,18,36,671,103,0,773,250,82,5,28,359,18,13,31,385,271,0,657,0,0,0,3,3,0,0,0,3,0,6,14,741,195,13,45
CED116,3,0,0,3,3,3,0,0,6,0,0,0,11,0,0,8,444,56,18,19,541,10,4,8,552,33,0,587,54,9,0,0,69,3,3,3,75,19,0,95,0,0,0,0,0,0,0,0,0,0,0,0,504,75,26,18,615,13,3,17,629,53,0,683,59,12,3,0,75,0,0,0,78,7,0,84,49,21,0,0,67,0,0,0,69,15,0,83,3,3,0,0,9,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,117,31,3,0,151,3,0,3,150,18,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,32,3,0,151,3,0,3,154,22,0,172,24,5,0,0,28,0,0,0,28,18,0,49,0,0,0,0,0,0,0,0,0,0,0,0,138,35,4,0
CED117,19,3,0,16,16,5,0,0,21,3,0,3,29,3,0,29,560,87,13,5,663,18,8,29,688,67,0,759,95,27,3,0,120,5,3,7,132,37,0,163,0,0,0,0,0,0,0,0,0,0,0,0,654,112,16,6,789,22,9,30,820,100,0,922,190,23,0,0,211,3,0,3,213,14,0,232,92,30,3,0,126,3,0,3,130,12,0,138,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,286,50,3,3,343,3,0,5,352,30,0,379,7,0,0,0,7,3,0,3,7,0,0,7,5,0,0,0,3,0,0,0,3,0,0,6,13,0,0,0,12,3,0,3,17,0,0,15,293,53,3,3,353,4,0,7,362,34,0,400,53,20,8,0,77,0,4,3,88,33,0,116,0,0,0,0,0,0,0,0,0,0,0,0,352,70,11,4
CED118,38,6,0,42,50,8,0,0,65,10,3,17,77,7,0,85,1509,164,37,22,1731,64,11,81,1804,83,3,1894,318,43,13,8,387,14,4,23,403,81,0,490,0,0,0,4,4,0,0,0,4,0,4,8,1832,205,44,33,2116,78,19,97,2218,166,12,2395,430,31,4,3,471,11,4,16,490,34,0,531,191,48,3,3,250,8,4,14,263,11,0,274,9,4,7,0,19,0,0,0,19,0,0,18,4,0,0,3,8,0,0,0,8,0,3,5,641,79,16,11,747,21,8,27,781,46,4,826,20,0,0,0,20,3,0,3,24,0,0,28,12,3,0,0,16,3,0,0,16,0,0,21,34,3,0,0,37,7,0,6,47,3,0,46,672,83,16,11,784,31,7,37,823,52,4,875,133,22,5,4,175,7,3,4,179,65,0,249,0,0,0,0,0,0,0,0,0,0,3,3,811,108,25,17
CED119,12,3,0,21,25,3,0,0,26,0,0,0,26,3,0,32,1495,159,25,19,1703,21,8,32,1732,69,0,1801,254,24,10,6,286,3,0,3,291,41,0,333,0,0,0,3,3,0,0,0,3,0,0,3,1751,181,37,30,1995,24,8,33,2031,106,4,2138,373,23,3,3,406,3,0,5,415,39,0,450,321,36,12,0,366,3,0,3,373,24,0,397,13,0,3,0,21,3,3,3,25,0,0,23,3,0,0,0,6,0,0,0,6,0,0,6,711,65,15,7,800,11,3,17,817,66,0,877,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,6,0,0,7,4,0,0,0,6,0,0,0,6,0,0,7,714,68,15,7,804,11,3,17,819,65,0,886,96,13,3,3,118,0,0,3,117,39,0,151,0,0,0,3,3,0,0,0,3,0,0,3,816,75,21,9
CED120,18,0,0,18,24,3,0,0,29,0,0,0,29,0,0,27,827,68,11,11,919,9,3,10,927,42,0,970,128,18,3,0,147,4,0,4,150,33,4,181,0,0,0,0,0,0,0,0,0,0,0,0,952,84,18,11,1063,9,3,11,1080,67,4,1152,181,17,3,0,194,5,0,6,199,10,0,209,156,21,3,0,181,5,0,5,183,6,0,194,13,3,3,0,15,0,0,0,15,0,0,19,0,3,0,0,4,0,0,0,4,0,0,7,345,37,8,3,396,10,0,6,405,16,0,423,10,0,0,0,10,0,0,0,10,0,0,13,3,0,0,0,3,0,0,0,3,0,0,3,12,0,0,0,18,0,0,0,18,0,0,19,361,38,8,3,410,10,0,6,419,23,0,443,48,11,5,0,62,0,0,0,66,20,0,81,0,0,0,0,0,0,0,0,0,0,0,0,409,52,12,7
CED121,14,0,0,15,14,6,0,0,21,5,0,3,25,0,0,34,579,76,11,5,671,16,6,19,693,55,0,747,93,8,6,0,110,8,0,8,119,33,0,153,0,0,0,0,0,0,0,0,0,0,0,0,671,83,16,5,787,22,6,28,810,86,0,902,112,12,0,0,122,3,0,4,124,13,0,133,85,7,4,0,92,0,0,0,97,13,0,111,3,0,3,0,3,0,0,0,3,0,0,3,0,0,0,5,5,0,0,0,5,0,0,5,192,19,6,8,224,8,3,5,236,27,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,4,0,0,4,193,19,6,8,229,8,4,9,235,27,0,262,39,3,0,0,45,7,0,7,49,13,0,62,0,0,0,0,0,0,0,0,0,0,0,0,238,20,10,8
CED122,25,0,0,25,37,3,0,0,40,4,0,6,44,0,0,44,1032,141,14,20,1206,21,9,22,1229,57,3,1291,150,39,5,3,193,3,0,7,198,53,0,253,0,0,0,0,0,0,0,0,0,0,0,5,1175,180,21,24,1399,22,11,33,1432,117,4,1556,285,44,3,3,327,5,0,9,336,38,0,374,187,47,4,4,244,4,0,5,247,18,0,271,3,0,4,0,14,0,0,0,14,3,0,13,8,0,0,3,5,0,0,0,5,3,0,7,477,85,13,13,594,13,0,12,604,62,0,668,0,0,0,0,0,3,0,3,3,0,0,3,4,0,0,0,10,4,0,3,10,0,0,10,5,0,0,0,6,6,0,7,15,0,0,15,489,88,13,13,600,17,3,17,622,62,0,683,91,26,4,0,123,3,0,5,130,46,0,176,0,0,0,0,0,0,0,0,0,0,0,0,582,118,22,11
CED123,19,3,0,26,29,3,0,0,34,0,0,0,31,4,0,41,921,86,15,16,1048,20,0,22,1074,65,0,1141,164,22,3,4,190,14,3,12,205,60,3,271,0,0,0,0,3,0,0,0,3,0,3,3,1092,110,23,22,1239,32,6,40,1279,127,9,1412,235,19,3,0,256,8,3,10,261,19,0,283,160,20,0,4,183,3,0,3,184,20,0,205,6,0,4,0,8,0,0,0,8,0,0,14,3,0,0,4,5,0,0,0,5,0,0,5,405,42,5,3,459,8,3,11,466,43,0,508,3,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,6,0,0,0,6,0,0,6,7,3,0,0,6,0,0,0,8,0,0,12,404,46,5,3,471,11,3,8,478,45,0,518,85,8,3,0,94,8,0,4,102,36,0,140,0,0,0,0,0,0,0,0,0,0,0,0,488,56,8,11
CED124,10,3,0,7,9,3,0,0,15,3,0,3,13,6,0,21,354,80,14,5,449,5,3,13,462,30,0,488,63,15,4,3,85,3,0,3,90,31,0,120,0,0,0,0,0,0,0,0,0,0,0,3,424,92,17,7,535,11,3,15,547,65,0,617,68,3,0,0,70,0,0,0,70,5,0,75,46,9,0,3,56,0,0,0,58,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,15,0,5,129,0,0,0,131,8,0,139,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,112,17,0,5,132,0,0,0,132,7,0,142,16,0,0,0,23,0,0,0,18,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,129,20,4,5
CED125,28,4,0,29,36,3,0,5,43,11,0,10,56,3,0,60,1001,99,17,31,1155,34,4,37,1191,94,0,1288,240,66,3,7,321,6,3,12,334,110,3,445,4,0,0,0,3,0,0,0,3,0,3,11,1251,168,20,38,1474,40,12,54,1530,200,7,1741,284,31,6,3,326,3,0,3,328,28,0,363,171,28,3,4,206,3,0,3,210,28,0,241,6,0,6,0,15,0,0,0,15,0,0,16,4,0,0,7,13,0,0,0,12,0,0,12,469,64,12,12,561,3,3,6,570,61,0,631,6,0,0,0,12,3,0,5,14,0,0,14,9,0,0,0,14,0,0,0,14,0,0,14,15,0,0,0,21,3,3,3,27,0,0,24,488,63,12,12,580,10,3,11,592,62,3,652,104,27,7,0,138,6,3,11,152,66,0,214,0,0,0,0,0,0,0,0,0,0,3,4,590,91,20,18
CED126,19,0,0,23,28,0,0,0,30,9,0,9,34,0,0,35,1228,146,20,8,1409,27,3,32,1440,62,0,1502,170,21,4,4,202,8,0,8,205,46,0,249,0,0,0,0,0,0,0,0,0,0,0,0,1399,166,21,11,1604,32,3,36,1641,111,3,1753,261,28,3,0,297,4,0,4,303,14,0,312,272,72,3,0,350,4,0,4,355,17,0,371,3,0,0,0,9,0,0,0,9,0,0,9,6,0,0,4,11,0,0,0,11,0,0,11,543,100,13,10,665,7,0,15,672,27,0,701,0,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,8,0,0,0,11,0,0,8,10,0,0,0,9,0,0,5,12,0,0,10,555,100,11,10,674,12,3,15,686,32,0,714,67,17,0,0,85,7,3,9,90,34,3,127,0,0,0,0,0,0,0,0,0,0,0,0,616,116,14,6
CED127,10,3,0,10,13,3,0,0,17,3,0,3,20,4,0,23,855,93,7,3,958,7,3,17,974,57,0,1029,142,12,4,0,166,0,0,0,164,34,0,196,0,0,0,0,0,0,0,0,0,0,0,0,999,111,7,6,1125,14,3,12,1139,95,3,1228,198,30,4,0,229,3,0,6,233,27,0,255,167,17,0,4,191,3,0,5,196,13,0,203,7,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,3,0,0,0,3,0,0,4,372,47,6,5,431,5,3,9,443,40,0,479,4,0,0,0,4,0,0,0,5,0,0,8,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,8,0,0,8,382,47,6,5,435,11,3,12,452,39,0,487,36,8,0,0,52,4,0,4,54,15,0,69,0,0,0,0,0,0,0,0,0,0,0,0,423,58,3,3
CED128,53,12,0,67,43,13,0,4,56,5,14,20,80,22,0,102,1001,160,18,36,1214,34,21,57,1279,135,0,1409,403,126,3,22,549,21,27,48,601,407,6,1010,0,0,0,3,3,0,0,0,3,0,3,9,1405,285,23,63,1776,60,50,110,1886,537,9,2435,275,22,6,5,299,5,0,7,308,38,0,344,181,37,0,3,222,3,6,8,238,35,0,272,5,4,3,0,11,0,0,0,11,0,0,11,5,0,0,5,14,0,0,0,14,3,0,13,465,62,11,14,552,13,8,18,565,74,0,646,10,5,0,0,12,3,0,3,18,7,0,23,10,11,0,0,22,3,3,6,25,8,0,34,20,16,0,0,38,7,4,8,43,11,0,62,487,77,11,11,585,14,14,26,610,91,0,701,189,63,9,6,272,13,10,26,296,308,0,603,0,0,0,0,0,0,0,0,0,0,7,9,675,147,13,27
CED129,42,6,0,45,57,8,0,0,66,3,0,3,64,9,0,73,1928,193,20,23,2162,62,3,65,2229,92,0,2321,346,38,4,12,396,14,3,21,414,60,0,476,0,0,0,3,4,0,0,0,4,0,3,4,2277,236,23,36,2568,77,5,84,2644,153,3,2805,492,51,0,0,549,20,4,27,579,52,0,627,318,47,0,0,370,11,0,11,383,23,0,403,11,3,8,0,17,0,0,0,17,0,0,17,0,0,0,3,6,0,0,0,6,0,0,6,827,102,6,3,947,32,4,44,982,70,0,1062,5,0,0,0,5,3,0,3,10,0,0,13,21,0,0,0,18,0,0,0,24,0,0,26,22,0,0,0,26,3,0,6,29,4,0,34,851,106,6,3,969,37,6,44,1016,79,0,1090,179,26,3,4,215,9,3,16,229,41,0,270,0,3,0,0,4,0,0,0,4,0,3,6,1029,126,15,11
CED130,3,0,0,3,0,0,0,0,0,4,0,4,9,3,0,7,315,40,7,3,371,8,0,7,376,22,0,404,40,3,0,3,47,0,0,0,47,22,0,69,0,0,0,0,0,0,0,0,0,0,4,3,360,48,8,8,418,9,0,8,430,43,4,474,34,8,0,3,41,0,0,0,47,5,0,46,26,0,0,0,22,0,0,0,22,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,62,9,0,3,73,0,0,0,72,3,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,63,9,0,3,76,0,0,0,78,5,0,77,5,0,0,0,5,0,0,0,5,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,65,9,0,3
CED131,7,3,0,11,15,0,0,0,18,5,0,5,18,4,0,26,657,87,15,13,776,26,4,27,804,56,0,862,106,18,3,0,127,3,0,3,128,38,0,168,4,0,0,0,4,0,0,0,4,0,0,4,772,105,13,13,900,30,4,31,930,96,4,1031,149,17,0,0,163,7,0,12,175,18,0,192,154,18,3,0,177,3,0,6,183,22,0,204,6,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,310,31,3,4,353,12,0,12,365,46,0,407,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,8,0,0,0,8,0,0,0,8,0,0,8,318,36,7,4,359,12,0,12,370,46,0,417,56,13,0,0,71,3,0,5,77,32,0,111,0,0,0,0,0,0,0,0,0,0,0,0,374,44,8,4
CED132,25,0,0,26,30,3,0,0,32,4,3,8,38,0,0,38,1047,150,11,14,1217,36,8,46,1259,83,0,1343,233,39,5,4,277,10,3,8,292,55,0,343,3,0,0,0,3,0,0,0,3,0,0,8,1283,186,17,18,1505,41,7,56,1559,135,4,1697,297,32,3,0,331,7,4,16,343,32,0,374,278,46,3,0,326,4,3,5,337,37,0,370,4,4,3,0,9,0,0,0,9,0,0,15,0,0,0,5,11,0,0,0,11,0,0,11,580,82,10,5,680,11,4,17,696,68,0,773,4,0,0,0,4,3,0,3,11,0,0,7,10,0,0,0,11,0,0,0,12,3,0,15,13,0,0,0,15,4,0,4,25,6,0,23,596,82,12,5,697,17,4,25,717,74,0,796,122,29,3,0,155,3,3,5,157,36,0,198,0,0,0,0,0,0,0,0,0,0,0,0,720,112,9,6
CED133,6,0,0,6,4,4,0,0,8,4,0,4,16,5,0,15,381,81,12,6,475,12,7,17,494,51,0,549,58,16,0,0,76,0,0,0,75,49,0,129,0,0,0,0,0,0,0,0,0,0,3,3,436,98,13,6,555,11,7,17,570,102,3,674,43,7,0,0,46,3,0,3,50,4,0,52,33,6,0,0,42,0,0,3,40,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,13,0,0,91,0,0,3,91,4,0,100,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,79,17,0,0,94,0,0,3,98,4,0,107,8,4,0,0,9,4,0,4,16,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0
CED134,4,0,0,4,7,0,0,0,7,3,0,3,3,0,0,4,236,28,3,0,263,4,0,4,265,18,0,283,37,4,0,4,42,5,0,5,45,11,0,60,0,0,0,0,3,0,0,0,3,0,4,3,271,27,3,3,307,8,0,8,317,31,7,348,20,7,0,0,26,0,0,0,26,0,0,30,16,3,0,0,24,0,0,0,24,3,0,27,0,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,3,0,0,0,3,0,3,6,40,7,3,0,50,0,0,0,50,6,3,57,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,42,7,3,0,56,0,0,0,57,6,3,66,3,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,4,4,51,7,3,0
CED135,35,10,0,46,47,20,0,0,61,10,3,12,73,15,0,90,1080,189,12,36,1320,41,17,58,1377,121,0,1502,338,118,4,23,481,18,12,27,513,175,0,682,0,0,0,4,6,0,0,0,6,0,8,10,1417,311,16,60,1804,57,26,83,1892,296,5,2198,311,36,3,0,350,7,3,9,363,39,0,404,178,59,3,3,250,11,0,14,262,37,0,296,5,0,4,0,13,0,0,0,15,0,0,15,0,0,0,10,7,0,0,0,7,0,0,14,497,101,10,16,630,20,3,26,652,71,0,728,10,0,0,0,12,4,0,4,19,3,0,18,9,6,0,0,15,0,0,3,17,4,0,19,21,6,0,0,27,8,0,11,35,6,0,39,515,111,10,15,651,28,3,31,688,76,0,761,169,46,3,0,219,5,12,18,231,124,0,356,0,0,0,3,7,0,0,0,7,0,7,10,682,157,11,16
